gene_id,baseMean,log2FC,SE,stat,pvalue,padj,osd_id,tissue_stratum
ENSMUSG00000000001,1098.3815639653565,-4.558904578293644e-6,0.0014426366592200101,-0.6832937329315889,0.4944212534945212,0.9999355476825762,OSD-352,brain
ENSMUSG00000000028,56.32557899067132,-3.2391240615757257e-6,0.0014426857352864205,-1.1435578017764418,0.25280707042776623,0.9999355476825762,OSD-352,brain
ENSMUSG00000000031,52.622288506486214,-2.685838031342627e-6,0.0014426910661247301,-1.3752734413660155,0.16904668710715404,0.9999355476825762,OSD-352,brain
ENSMUSG00000000037,21.77156974511493,-2.6705932381048527e-6,0.0014426923133734589,-1.5415829376896464,0.12317497440557394,0.9999355476825762,OSD-352,brain
ENSMUSG00000000049,8.605321745480328,1.911995628260318e-7,0.001442693568279759,0.1817387470896996,0.8557877565249126,0.9999355476825762,OSD-352,brain
ENSMUSG00000000056,1904.7643257904515,-2.5291680739050543e-6,0.0014426206431049251,-0.344311774552984,0.7306118302302124,0.9999355476825762,OSD-352,brain
ENSMUSG00000000058,693.7515714853068,-7.93370424621986e-6,0.0014426538993118439,-1.0246860065390795,0.30551136788352623,0.9999355476825762,OSD-352,brain
ENSMUSG00000000078,3096.8613641535308,-6.662293581240964e-6,0.0014426470829249614,-1.0530297867494407,0.2923273405418493,0.9999355476825762,OSD-352,brain
ENSMUSG00000000085,1530.9277950456287,3.0110169969882205e-6,0.0014426216839419112,0.3483587464354498,0.7275707800536326,0.9999355476825762,OSD-352,brain
ENSMUSG00000000088,978.7938916779727,2.8687506640565403e-5,0.0014428027470509727,0.5144591743340599,0.6069309966263208,0.9999355476825762,OSD-352,brain
ENSMUSG00000000093,46.56273138853459,-6.56588916641912e-7,0.0014426846254826675,-0.24079212453561458,0.8097162337738744,0.9999355476825762,OSD-352,brain
ENSMUSG00000000094,8.021127795028795,1.4576005891076631e-6,0.0014426935558642987,1.2437642096943582,0.21358635629390305,0.9999355476825762,OSD-352,brain
ENSMUSG00000000120,26.661173558967484,1.9567455578728296e-6,0.0014426904598390077,1.000278788002859,0.31717560959946606,0.9999355476825762,OSD-352,brain
ENSMUSG00000000125,29.807545078159116,8.588479026404506e-7,0.0014426887469967406,0.39631926979626586,0.6918695133844985,0.9999355476825762,OSD-352,brain
ENSMUSG00000000126,408.45251180370354,7.110227976566709e-6,0.0014426727596566853,1.497813746436178,0.13418164829534515,0.9999355476825762,OSD-352,brain
ENSMUSG00000000127,2181.0474389447077,1.0028063593713001e-6,0.001442595184666698,0.11648576996150886,0.9072675632474283,0.9999355476825762,OSD-352,brain
ENSMUSG00000000131,3408.7526711799114,3.2577622444472446e-6,0.0014425981173764673,0.3841297770003816,0.7008822625077136,0.9999355476825762,OSD-352,brain
ENSMUSG00000000134,1171.3028715434025,2.5487081323591552e-6,0.001442625111064597,0.35443895752104365,0.7230099431690664,0.9999355476825762,OSD-352,brain
ENSMUSG00000000142,1325.8480953780354,6.305947965722844e-6,0.0014426270516430793,0.8561337163846663,0.39192382092216693,0.9999355476825762,OSD-352,brain
ENSMUSG00000000148,367.0404737641439,1.7089565107021133e-6,0.001442647622452963,0.3144983220417907,0.7531425906784086,0.9999355476825762,OSD-352,brain
ENSMUSG00000000149,1880.3172115872933,3.254064788998395e-6,0.0014426242773292366,0.4475606764556939,0.6544702883586992,0.9999355476825762,OSD-352,brain
ENSMUSG00000000154,11.256274415769429,-2.941019822681768e-7,0.0014426926161637695,-0.22452095892587487,0.8223519603009762,0.9999355476825762,OSD-352,brain
ENSMUSG00000000159,6.98850479463992,-4.5970771872280345e-7,0.001442694239421428,-0.5904129651577359,0.5549138204971825,0.9999355476825762,OSD-352,brain
ENSMUSG00000000167,73.98305410364662,9.024745087910339e-7,0.0014426800375446451,0.27096103132386257,0.7864210038982987,0.9999355476825762,OSD-352,brain
ENSMUSG00000000168,2742.2719139902183,-1.1205899071924415e-5,0.0014426288196260082,0.05567437476455526,0.95560121380635,0.9999355476825762,OSD-352,brain
ENSMUSG00000000171,1877.6203568859328,4.444575626581926e-6,0.0014426604894193836,0.8463166889956464,0.3973761001882765,0.9999355476825762,OSD-352,brain
ENSMUSG00000000182,2.3435642592633252,5.673027087877537e-7,0.0014426947404575024,1.068630688396621,0.2852361146312716,0.9999355476825762,OSD-352,brain
ENSMUSG00000000184,3536.130628522136,-2.6643307836059665e-6,0.0014426128024505201,-0.34548947532685487,0.7297264212207346,0.9999355476825762,OSD-352,brain
