gene_id,baseMean,log2FC,SE,stat,pvalue,padj,osd_id,tissue_stratum
ENSMUSG00000000001,391.76852335745446,-1.330288322984951e-5,0.0014425429133460045,-1.0221874509333715,0.30669218904737666,0.8099983717597383,OSD-420,liver_immune
ENSMUSG00000000028,15.466823422419232,-1.7378079838222587e-6,0.001442691242991435,-0.9749257080784521,0.32959711287054644,0.8254895856674849,OSD-420,liver_immune
ENSMUSG00000000031,2.788856673516432,2.6455759631368304e-6,0.0014426942803461118,2.111059665855296,0.03476718371163334,NA,OSD-420,liver_immune
ENSMUSG00000000037,2.93557026763378,4.758027075439063e-7,0.0014426942532721964,0.6045896817253678,0.5454516642743144,NA,OSD-420,liver_immune
ENSMUSG00000000049,2.639082944036364,-1.8866642370806535e-6,0.0014426944906657008,-1.9270333458010351,0.05397547438919984,NA,OSD-420,liver_immune
ENSMUSG00000000056,127.95721117498326,3.6929515153668813e-6,0.001442639075534594,0.5701083239358938,0.568604229800225,0.9181567537052567,OSD-420,liver_immune
ENSMUSG00000000058,46.566701321162554,7.842429466804005e-6,0.0014426810413235628,1.8768900345402844,0.06053316699255716,0.5139614668668007,OSD-420,liver_immune
ENSMUSG00000000078,555.3459466314999,1.5091559325616044e-5,0.0014425610991366255,0.6308847310018952,0.528115896223539,0.9022834043434116,OSD-420,liver_immune
ENSMUSG00000000085,76.91088337018023,5.552270472085089e-7,0.0014426558758499366,0.10334029345363027,0.9176928972375217,0.9900716294518549,OSD-420,liver_immune
ENSMUSG00000000088,1298.5089895407475,-1.2755122188159163e-5,0.0014426107856208442,-1.4140482851051297,0.15734772578418094,0.685935558745239,OSD-420,liver_immune
ENSMUSG00000000093,7.090004672525225,2.158256434163808e-6,0.0014426932992639655,1.544410701444709,0.12248886918375812,0.6401014468708677,OSD-420,liver_immune
ENSMUSG00000000120,18.683652881354632,4.6968657010900395e-6,0.0014426912229818425,1.9798584404908022,0.0477194374283598,0.47488131180979587,OSD-420,liver_immune
ENSMUSG00000000125,1.2754183906205572,-1.7479934855378775e-7,0.0014426946509196131,-0.3068583880970229,0.7589511634310042,NA,OSD-420,liver_immune
