signature,compound,overlap,p,direction,z-sum
4-vinylcyclohexene diepoxide-dn,4,5,0.8771765360496052,dn,-0.05691299395811554
4-hydroxytamoxifen-up,4,1,0.9985810866095792,up,-0.0006166638555944493
4-hydroxytamoxifen-dn,4,3,0.8760460983722377,dn,-0.0574730402452348
Leptin-dn,Leptin,16,0.01405056300544086,dn,-1.852306273249476
Morphine-up,Morphine,4,0.3262747788216252,up,-0.48641649606176135
Morphine-dn,Morphine,5,0.9573184150617453,dn,-0.018943586879391097
Mycophenolic acid-up,Mycophenolic,5,0.6312602310750235,up,-0.1997915700401427
Mycophenolic acid-dn,Mycophenolic,1,0.9980600030029332,dn,-0.0008433483020799579
Acetaminophen-dn,Acetaminophen,9,0.3781365602129471,dn,-0.4223513307540039
Abiraterone-up,Abiraterone,3,0.7884793522857317,up,-0.1032096749486235
Abiraterone-dn,Abiraterone,1,0.9995531092444871,dn,-0.0001941255688253439
Trichloroethylene-dn,Trichloroethylene,7,0.8369897298015855,dn,-0.07727987094086682
Cisplatin-up,Cisplatin,12,0.12287912330890491,up,-0.9105218958107985
Cisplatin-dn,Cisplatin,1,0.9232570975261088,dn,-0.03467734503135549
Metoprolol-dn,Metoprolol,3,0.9841329414027054,dn,-0.0069462310220864895
Azacitidine-up,Azacitidine,2,0.9778335214631043,up,-0.00973507861144333
Azacitidine-dn,Azacitidine,5,0.7234325014382263,dn,-0.14060198371623447
Methotrexate-up,Methotrexate,8,0.18900732559683003,up,-0.7235213629980518
Decitabine-up,Decitabine,2,0.9591376889920179,up,-0.018119043218150433
Decitabine-dn,Decitabine,1,0.9991084746421046,dn,-0.00038735723847908924
Imatinib-up,Imatinib,13,0.00028601239870082863,up,-3.5436151397008966
Imatinib-dn,Imatinib,2,0.9950529003849737,dn,-0.0021538300737953537
Doxorubicin-up,Doxorubicin,2,0.97163814170694,up,-0.012495445279293426
Doxorubicin-dn,Doxorubicin,1,0.9983390778978879,dn,-0.0007219290038389135
