signature,compound,overlap,p,direction,z-sum
Mek inhibitor (meki : azd6244)-dn,Mek,3,0.8605082787687202,dn,-0.06524494706067817
Deltamethrin-up,Deltamethrin,2,0.996719895289378,up,-0.0014268728034132
Deltamethrin-dn,Deltamethrin,1,0.9694167087615303,dn,-0.013489499096037178
Cigarette smoke-up,Cigarette,2,0.9191554399499605,up,-0.03661103811973693
Cigarette smoke-dn,Cigarette,7,0.6670768580748608,dn,-0.17582412543154008
Nsc319726-up,Nsc319726,5,0.38340654174073535,up,-0.41634048139622926
Nsc319726-dn,Nsc319726,5,0.8982186501881485,dn,-0.04661793169402338
Interferon gamma-1b-dn,Interferon,2,0.995243228588134,dn,-0.00207076857613002
Angiotensin ii-dn,Angiotensin,11,0.4391876218186125,dn,-0.35734990865729976
Luteolin-up,Luteolin,1,0.9775078330114229,up,-0.009879753809325528
Luteolin-dn,Luteolin,3,0.9905999457750745,dn,-0.004101700126616012
Interferon beta-1a-up,Interferon,6,0.4980434885031516,up,-0.30273273356089503
Interferon beta-1a-dn,Interferon,2,0.9829821589527493,dn,-0.007454364506305013
Mercury-up,Mercury,6,0.5602604044130124,up,-0.25161006957701193
Mercury-dn,Mercury,4,0.8072788339658482,dn,-0.09297643412916962
Nitric oxide-up,Nitric,6,0.5191416553057453,up,-0.28471412245303107
Nitric oxide-dn,Nitric,2,0.9802007293775868,dn,-0.008684978660214995
"3h-1,2-dithiole-3-thione-dn",3h,12,0.05194637949435332,dn,-1.2844447160647892
Motexafin gadolinium-up,Motexafin,4,0.727208063941605,up,-0.13834131390885576
Motexafin gadolinium-dn,Motexafin,4,0.9142964371660742,dn,-0.038912972589239016
"2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)-up","2,3,7,8",7,0.2738340264829172,up,-0.5625125876278573
"2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)-dn","2,3,7,8",3,0.9579109830755121,dn,-0.01867484724225587
Halothane-up,Halothane,3,0.9293776870271844,up,-0.03180775849508214
Halothane-dn,Halothane,6,0.5180082996275324,dn,-0.2856632818502049
Trichostatin a-up,Trichostatin,5,0.9781581330702682,up,-0.00959092970291343
Anastrozole-up,Anastrozole,2,0.8380428397648344,up,-0.07673378017887532
Anastrozole-dn,Anastrozole,5,0.9429686236177166,dn,-0.025502757757253962
4-hydroxynonenal-up,4,4,0.9067703755206622,up,-0.042502676853931595
4-hydroxynonenal-dn,4,1,0.9912716069017403,dn,-0.0038073331866459777
Bicalutamide-up,Bicalutamide,3,0.9959521739415487,up,-0.0017615160863164233
Bicalutamide-dn,Bicalutamide,3,0.16257222942043514,dn,-0.7889536385666859
Carboplatin-up,Carboplatin,5,0.4563252496816596,up,-0.3407254999014007
Carboplatin-dn,Carboplatin,3,0.9811581909183513,dn,-0.00826096621403182
Gamma-tocotrienol-up,Gamma,2,0.9565981702578233,up,-0.01927045416412847
Gamma-tocotrienol-dn,Gamma,2,0.9933678940667664,dn,-0.0028898806353043083
Phorbol 12-myristate 13-acetate (pma)-up,Phorbol,3,0.85608153784845,up,-0.06748486879106422
Phorbol 12-myristate 13-acetate (pma)-dn,Phorbol,3,0.9717097682313519,dn,-0.01246343144979329
Nvp-tnks656 (tankyrase inhibitor)-up,Nvp,8,0.5510191295113105,up,-0.2588333236582114
Fgfr-specific pd173074 inhibitor-up,Fgfr,2,0.8774657307338217,up,-0.05676983582375864
Fgfr-specific pd173074 inhibitor-dn,Fgfr,12,0.12791183306329315,dn,-0.8930892772853798
Nvp-tnks656-up,Nvp,5,0.9006558370162072,up,-0.045441132038511994
Nvp-tnks656-dn,Nvp,1,0.9619157027814584,dn,-0.01686298557232338
Aplidin-up,Aplidin,6,0.5858159473366282,up,-0.23223880994013418
Aplidin-dn,Aplidin,4,0.7793610795474033,dn,-0.10826128620030327
Nicotine-up,Nicotine,7,0.6210993496623692,up,-0.20683892549312627
Nicotine-dn,Nicotine,2,0.8924699837019359,dn,-0.04940638152594435
Vitamin a-dn,Vitamin,3,0.8964890256245358,dn,-0.04745502248760816
Trovafloxacin-up,Trovafloxacin,5,0.8920083632074062,up,-0.04963107378777746
Trovafloxacin-dn,Trovafloxacin,6,0.12118413908367533,dn,-0.9165542181169152
Levofloxacin-dn,Levofloxacin,12,0.05194637949435332,dn,-1.2844447160647892
Methamphetamine-dn,Methamphetamine,3,0.9798256090294017,dn,-0.008851213874572264
Grepafloxacin-up,Grepafloxacin,1,0.9997568720679533,up,-0.00010560195719743054
Grepafloxacin-dn,Grepafloxacin,6,0.07826084595506352,dn,-1.1064554619345675
Gatifloxacin-dn,Gatifloxacin,9,0.3750787513888309,dn,-0.4258775383978411
Clinafloxacin-up,Clinafloxacin,1,0.9992249608762503,up,-0.00033672571936890886
Clinafloxacin-dn,Clinafloxacin,6,0.26546353054117033,dn,-0.5759951339897655
Colistin-dn,Colistin,4,0.8742087039739004,dn,-0.05838487381408818
Bortezomib-up,Bortezomib,6,0.4017538191393853,up,-0.3960399860685954
Bortezomib-dn,Bortezomib,5,0.7981293246792005,dn,-0.09792673215307422
Phorbol ester 12-o-tetradecanoylphorbol-13-acetate (tpa)-up,Phorbol,1,0.9456034122469857,up,-0.024290969291327666
Phorbol ester 12-o-tetradecanoylphorbol-13-acetate (tpa)-dn,Phorbol,7,0.7715988862686576,dn,-0.11260840789145717
Cocaine-up,Cocaine,4,0.7424041657138098,up,-0.12935959990685986
Cocaine-dn,Cocaine,2,0.9919457887652916,dn,-0.0035120620025006263
Imiquimod-up,Imiquimod,2,0.9794861900160932,up,-0.009001682836254975
Imiquimod-dn,Imiquimod,3,0.9339634678090978,dn,-0.0296701109639242
Troglitazone-up,Troglitazone,2,0.9578861777579646,up,-0.018686093539884454
Troglitazone-dn,Troglitazone,8,0.3788475264695327,dn,-0.4215355439540529
"3,3',4,4'-tetrachlorobiphenyl-dn","3,3',4,4'",6,0.6890499469310561,dn,-0.1617492963937558
"Puromycin, ec50, 5 d-dn","Puromycin,",8,0.8344079063488389,dn,-0.07862158944801055
Foretinib-up,Foretinib,3,0.8594994443746921,up,-0.06575439972746193
Foretinib-dn,Foretinib,2,0.99349582733369,dn,-0.002833952580093349
Sirolimus-up,Sirolimus,7,0.6382479858661363,up,-0.19501054703464513
Laminin-up,Laminin,1,0.9971068422831034,up,-0.001258303546007797
Laminin-dn,Laminin,4,0.8385974551493398,dn,-0.0764464598626628
Formoterol-up,Formoterol,2,0.993831109699842,up,-0.002687412742920764
Formoterol-dn,Formoterol,3,0.8060727480427219,dn,-0.09362576136141262
Neocarzinostatin-up,Neocarzinostatin,5,0.5898902043900365,up,-0.22922881558653282
Neocarzinostatin-dn,Neocarzinostatin,3,0.9618553664947341,dn,-0.01689022760419503
"Puromycin, ec50, 1 d-dn","Puromycin,",2,0.9969172936525165,dn,-0.001340870174044681
"Puromycin, ec50, 3 d-up","Puromycin,",3,0.84539128158552,up,-0.072942235308542
"Puromycin, ec50, 3 d-dn","Puromycin,",5,0.847187495657659,dn,-0.07202046296543853
Sb 216763-up,Sb,6,0.39230524541673695,up,-0.40637588498717475
Sb 216763-dn,Sb,1,0.9980164931654041,dn,-0.0008622815267200558
Triiodothyronine-[13c6] hydrochloride (t3 thyronine)-up,Triiodothyronine,5,0.7972980014405456,up,-0.09837932453630621
Triiodothyronine-[13c6] hydrochloride (t3 thyronine)-dn,Triiodothyronine,3,0.8477633185888505,dn,-0.07172537861362287
R1881-up,R1881,2,0.9659327401519173,up,-0.01505311333383195
R1881-dn,R1881,3,0.9618553664947341,dn,-0.01689022760419503
Mk-886-dn,Mk,4,0.9178366149023738,dn,-0.037234621153374135
1-[3-(trifluoromethyl)phenyl]piperazine-up,1,3,0.8280758821825587,up,-0.08192986405671458
1-[3-(trifluoromethyl)phenyl]piperazine-dn,1,13,0.03279538746351562,dn,-1.4841872337275588
1-(4-methoxyphenyl)piperazine-up,1,2,0.9643431591833251,up,-0.01576839595170939
1-(4-methoxyphenyl)piperazine-dn,1,15,0.00279915471139331,dn,-2.5529730970866997
Hydrocortisone-up,Hydrocortisone,3,0.9497874766626726,up,-0.02237356106706916
1-benzylpiperazine-up,1,2,0.9756806104686823,up,-0.010692325583103445
1-benzylpiperazine-dn,1,11,0.04139733496709916,dn,-1.3830276165200996
Sapphyrin pci-2050 (1.25 &icirc;&frac14;m)-up,Sapphyrin,2,0.9918999258494443,up,-0.0035321422044369845
Sapphyrin pci-2050 (1.25 &icirc;&frac14;m)-dn,Sapphyrin,1,0.9904668784427837,dn,-0.00416004284127452
Sapphyrin pci-2050 (2.5 &icirc;&frac14;m)-dn,Sapphyrin,5,0.8595014569766867,dn,-0.06575338278565597
Pbde 85-up,Pbde,9,0.19628561197334443,up,-0.7071115336633341
Heregulin-up,Heregulin,2,0.9311660968178261,up,-0.030972844800049113
Heregulin-dn,Heregulin,7,0.6205051665938079,dn,-0.20725459802691215
L-arginine-up,L,4,0.7639889914680817,up,-0.1169128992503713
L-arginine-dn,L,6,0.5985963964755617,dn,-0.22286590192197095
Carboplatin (30 h)-up,Carboplatin,11,0.017094137118976224,up,-1.7671528167115056
Carboplatin (30 h)-dn,Carboplatin,5,0.7668158965544056,dn,-0.1153088925150244
Carboplatin (24 h)-up,Carboplatin,6,0.21335681772197568,up,-0.670893474896417
Carboplatin (24 h)-dn,Carboplatin,4,0.9573229046794056,dn,-0.01894155013636709
Carboplatin (36 h)-up,Carboplatin,9,0.06588312377511092,up,-1.1812258174237902
Carboplatin (36 h)-dn,Carboplatin,6,0.656367069534163,dn,-0.18285321597719073
Laccaic acid-up,Laccaic,6,0.6773862721244395,up,-0.16916360899197305
Laccaic acid-dn,Laccaic,3,0.8166645368193923,dn,-0.08795630298630308
Sunitinib-up,Sunitinib,1,0.9994115683376354,up,-0.00025562784107795665
Sunitinib-dn,Sunitinib,7,0.10505991702962435,dn,-0.9785629465139738
Ursodeoxycholic acid-dn,Ursodeoxycholic,3,0.9307617388187662,dn,-0.031161477728892915
"1,25 dihydroxyvitamin d-up","1,25",2,0.9885107908028054,up,-0.005018585469646517
"1,25 dihydroxyvitamin d-dn","1,25",2,0.9646731312150608,dn,-0.01561981759633081
Hodgkin lymphoma-up,Hodgkin,7,0.24689961522954063,up,-0.6074795868757531
Hodgkin lymphoma-dn,Hodgkin,4,0.9041864543168701,dn,-0.04374200345025604
1-piperonylpiperazine-up,1,2,0.9813127935094099,up,-0.008192539161752959
1-piperonylpiperazine-dn,1,12,0.012155816566784572,dn,-1.9152158621158135
Capsaicin-up,Capsaicin,2,0.9693821210235879,up,-0.013504994529086475
Capsaicin-dn,Capsaicin,1,0.9986697943449354,dn,-0.0005780855474209197
Antimony-up,Antimony,1,0.9983271676428471,up,-0.000727110198296305
Antimony-dn,Antimony,8,0.1536820113908479,dn,-0.8133769640610573
Telapristone acetate-up,Telapristone,5,0.6369614422352441,up,-0.19588685641078893
Telapristone acetate-dn,Telapristone,3,0.9512754542715027,dn,-0.021693709194561008
Chromium-up,Chromium,4,0.8449687843987216,up,-0.0731593348536148
Chromium-dn,Chromium,4,0.82350826006526,dn,-0.0843320403524277
"1,2,4-benzenetriol-up","1,2,4",3,0.8800357263382346,up,-0.055499696671868534
"1,2,4-benzenetriol-dn","1,2,4",3,0.9636952045594196,dn,-0.016060302102097128
Promegestone-up,Promegestone,3,0.9121917022550929,up,-0.0399138826335761
Promegestone-dn,Promegestone,1,0.9983018043229452,dn,-0.0007381439457089576
Testosterone-dn,Testosterone,4,0.947452280297031,dn,-0.023442654632264626
Tibolone-up,Tibolone,4,0.6976516040062741,up,-0.15636140292312983
Tibolone-dn,Tibolone,3,0.973546542072669,dn,-0.011643281450399513
Creatine-up,Creatine,3,0.8913131928352107,up,-0.04996966518863458
Creatine-dn,Creatine,3,0.9605806954248918,dn,-0.017466145528296284
Sulforaphane-up,Sulforaphane,1,0.9967723828979851,up,-0.0014040033104725446
Sulforaphane-dn,Sulforaphane,4,0.8564029926054125,dn,-0.06732182378097809
Calcitonin-up,Calcitonin,1,0.999016272762977,up,-0.0004274375862218001
Calcitonin-dn,Calcitonin,3,0.8340232470574659,dn,-0.07882184393291984
Y15-up,Y15,2,0.8570238091372737,up,-0.06700711269371626
Y15-dn,Y15,4,0.9768907390982303,dn,-0.010154007479018373
Temozolomide-up,Temozolomide,6,0.39860488223847285,up,-0.3994573862269943
Temozolomide-dn,Temozolomide,4,0.9041864543168701,dn,-0.04374200345025604
