gene_id,mouse_symbol,human_symbol,pooled_log2FC,pvalue,padj,direction,I2,k,n_studies_up,n_studies_down,core
ENSMUSG00000044991,Shld1,C20orf196,-0.15618224671292863,0.023344115147459276,0.9999896186065661,down,1.0520642757214231,4,0,4,FALSE
ENSMUSG00000045333,Zfp423,ZNF423,0.1560624060557884,0.02060777080257049,0.9999896186065661,up,7.134309192535117,4,4,0,FALSE
ENSMUSG00000060708,Bloc1s4,BLOC1S4,-0.1556267929036869,0.024075020011130332,0.9999896186065661,down,37.48994424425519,4,0,4,FALSE
ENSMUSG00000055839,Elob,NA,-0.1556191398491438,0.01715188351424424,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000040269,Mrps28,MRPS28,-0.15558583550437288,0.0126709833172176,0.9999896186065661,down,0.0329842475919071,4,0,4,FALSE
ENSMUSG00000075590,Nrbp2,NA,0.15542440566733196,0.010814667057806947,0.9999896186065661,up,16.605142234242972,4,4,0,FALSE
ENSMUSG00000027438,Napb,NAPB,0.15538474836997157,0.004164962169520962,0.9999896186065661,up,25.720600071037325,4,4,0,FALSE
ENSMUSG00000006494,Pdk1,PDK1,0.15504099220473735,0.029592297215100226,0.9999896186065661,up,57.47212576448151,4,4,0,FALSE
ENSMUSG00000031295,Phka2,PHKA2,0.15503852840375096,0.003312649715685143,0.9999896186065661,up,36.24824509211057,4,4,0,FALSE
ENSMUSG00000018666,Cbx1,CBX1,-0.15500432549865248,0.01900129404589969,0.9999896186065661,down,58.390916574991216,4,0,4,FALSE
ENSMUSG00000060671,Atp8b2,ATP8B2,0.15477722157340504,0.021513182992980513,0.9999896186065661,up,54.47439122287104,4,4,0,FALSE
ENSMUSG00000031059,Ndufb11,NDUFB11,-0.1538030614191489,0.021536745549542075,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000000827,Tpd52l2,TPD52L2,-0.15357162716868292,0.0015669766654920546,0.9999896186065661,down,46.897465233219144,4,0,4,FALSE
ENSMUSG00000032892,Rangrf,RANGRF,-0.15340871556708371,0.022792238350880446,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000035215,Lsm7,LSM7,-0.15305880023123883,0.010826071552866768,0.9999896186065661,down,7.1204864746186045,4,0,4,FALSE
ENSMUSG00000024846,Cst6,CST6,-0.1530018208798898,0.04994903672470823,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000028998,Tomm7,TOMM7,-0.15295963636571727,0.036908694223869026,0.9999896186065661,down,0.02408062814569884,4,1,3,FALSE
ENSMUSG00000062054,Iah1,IAH1,-0.15288353487974918,0.01597179652438167,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000028337,Coro2a,CORO2A,0.1528649871212177,0.0436595403788851,0.9999896186065661,up,41.36460218221041,4,4,0,FALSE
ENSMUSG00000023971,Rrp36,RRP36,-0.15189633938632355,0.006077606956662922,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000018449,Rpain,RPAIN,-0.15180666156565006,0.02540795392920017,0.9999896186065661,down,24.866824867752516,4,0,4,FALSE
ENSMUSG00000027630,Tbl1xr1,TBL1XR1,0.15099275133060502,0.004824912524891961,0.9999896186065661,up,25.716804609169568,4,4,0,FALSE
ENSMUSG00000037710,Cisd1,CISD1,-0.15096749252624683,0.028466673479269664,0.9999896186065661,down,49.61721174700171,4,0,4,FALSE
ENSMUSG00000044864,Ankrd50,NA,0.15096408303054065,0.036097734826761506,0.9999896186065661,up,49.9844871401155,4,4,0,FALSE
ENSMUSG00000060227,Golm2,CASC4,0.15089009525397493,7.64324390416289e-4,0.9915945863318107,up,0,4,4,0,FALSE
ENSMUSG00000072294,Klf12,KLF12,0.15025748391600136,0.0042836357748526534,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000092417,Gpank1,GPANK1,-0.14935546540679723,0.004273071845872127,0.9999896186065661,down,0.035214404631650466,4,0,4,FALSE
ENSMUSG00000040824,Snrpd2,SNRPD2,-0.14914681797949747,0.04379041014827785,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000015597,Zfp318,ZNF318,0.1490191805219085,0.0012566253380522495,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000063410,Stk24,STK24,0.14845705622942265,0.007382431533931153,0.9999896186065661,up,19.249429556554823,4,4,0,FALSE
ENSMUSG00000029703,Lrwd1,LRWD1,-0.14680123909794976,0.01844307619394695,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000030688,Stard10,STARD10,-0.14660845852768006,0.0364673495702328,0.9999896186065661,down,0.002736693577013979,4,1,3,FALSE
ENSMUSG00000030282,Cmas,CMAS,0.1466013951686148,4.436366111879318e-4,0.7786866377198056,up,0,4,4,0,FALSE
ENSMUSG00000022516,Nudt16l1,NUDT16L1,-0.14586625951298365,0.030779040693727396,0.9999896186065661,down,39.205126623035135,4,0,4,FALSE
ENSMUSG00000041977,Arhgef11,ARHGEF11,0.14544456946796558,9.8465892671253e-4,0.9999896186065661,up,0.04391901611219436,4,4,0,FALSE
ENSMUSG00000039246,Lyplal1,LYPLAL1,0.1452549543495549,0.003916851186932845,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000073468,Sft2d1,SFT2D1,-0.14472096562317802,0.007692975963535488,0.9999896186065661,down,0.020975289826425526,4,0,4,FALSE
ENSMUSG00000026032,Ndufb3,NDUFB3,-0.14438529375030945,0.017986416515854947,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000030428,Ttyh1,TTYH1,0.1443476599871011,0.045221844961177024,0.9999896186065661,up,71.71929867097111,4,3,1,FALSE
ENSMUSG00000005672,Kit,KIT,0.1440683531593837,0.031301256689999335,0.9999896186065661,up,9.217282736828858e-4,4,3,1,FALSE
ENSMUSG00000028952,Zbtb48,ZBTB48,-0.14404497605691866,0.035302085846925554,0.9999896186065661,down,1.765710940307425e-4,4,0,4,FALSE
ENSMUSG00000075229,Mix23,CCDC58,-0.1439338403543472,0.007040667774030705,0.9999896186065661,down,0.019615309850166303,4,0,4,FALSE
ENSMUSG00000059772,Slx1b,SLX1A,-0.14361019947230505,0.043459261563797195,0.9999896186065661,down,46.07109797789014,4,1,3,FALSE
ENSMUSG00000030613,Ccdc90b,CCDC90B,-0.14355123088969185,0.03198269848196737,0.9999896186065661,down,43.82044192489216,4,0,4,FALSE
ENSMUSG00000021102,Glrx5,GLRX5,-0.14331978717922556,0.01958040177247082,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000002413,Braf,BRAF,0.14269032681243493,0.024567187882535393,0.9999896186065661,up,39.29348447373399,4,4,0,FALSE
ENSMUSG00000035246,Pcyt1b,PCYT1B,0.14258300250743047,0.0014224801580232948,0.9999896186065661,up,0.07008155072099247,4,4,0,FALSE
ENSMUSG00000056899,Immp2l,IMMP2L,-0.14204371238131602,0.015312730641124423,0.9999896186065661,down,3.112818076550808e-4,4,0,4,FALSE
ENSMUSG00000050222,Il17d,IL17D,-0.1419558138645008,0.03435577378928675,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000001173,Ocrl,OCRL,0.14190747896655267,1.3407668643345923e-5,0.20003571232439948,up,0,4,4,0,FALSE
ENSMUSG00000055817,Mta3,MTA3,0.14172963695930074,0.030192617419701685,0.9999896186065661,up,32.563397160498,4,4,0,FALSE
ENSMUSG00000046287,Pnma3,PNMA3,0.14147908743486645,0.036766784890357056,0.9999896186065661,up,0.011123773153393007,4,3,1,FALSE
ENSMUSG00000031879,Ciao2b,FAM96B,-0.14109714571666515,0.014230779132601453,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000001666,Ddt,DDT,-0.14088698247764408,0.043015803049832615,0.9999896186065661,down,0.019069078741834528,4,0,4,FALSE
ENSMUSG00000020440,Arf5,ARF5,-0.1399359918107763,0.010842769573926282,0.9999896186065661,down,0,4,1,3,FALSE
ENSMUSG00000026463,Atp2b4,ATP2B4,0.1399116745914213,0.010199783538871276,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000029068,Ccnl2,CCNL2,-0.13969513516573176,0.016667713124546665,0.9999896186065661,down,29.963446562076236,4,0,4,FALSE
ENSMUSG00000020485,Supt4a,SUPT4H1,-0.13958375305708118,0.028990106924115362,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000026082,Rev1,REV1,-0.13946528628292912,0.0013385658735835704,0.9999896186065661,down,0.05099749053604662,4,0,4,FALSE
ENSMUSG00000063873,Slc24a3,SLC24A3,0.13896782025920285,0.011103439967623592,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000027800,Tm4sf1,TM4SF1,-0.1383822368064172,0.03397504515305928,0.9999896186065661,down,18.427133856348963,4,0,4,FALSE
ENSMUSG00000069744,Psmb3,PSMB3,-0.1381710102769658,0.017810335487499485,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000042312,S100a13,S100A13,-0.13805784295043022,0.04357955014385053,0.9999896186065661,down,0.00183739684927278,4,0,4,FALSE
ENSMUSG00000024983,Vti1a,VTI1A,0.13683269532398126,0.0060929416143115115,0.9999896186065661,up,29.02974207909055,4,4,0,FALSE
ENSMUSG00000078713,Tomm5,NA,-0.1364126874976158,0.021518623863364554,0.9999896186065661,down,0.0192302688218504,4,0,4,FALSE
ENSMUSG00000021376,Tpmt,TPMT,0.13633444993173363,0.022258776634781197,0.9999896186065661,up,48.129680626326035,4,4,0,FALSE
ENSMUSG00000021838,Samd4,SAMD4A,-0.13612100024836224,0.014507676132879262,0.9999896186065661,down,41.14515356071333,4,0,4,FALSE
ENSMUSG00000020038,Cry1,CRY1,-0.13587539751969893,0.005203815374544865,0.9999896186065661,down,0.02647628339917341,4,0,4,FALSE
ENSMUSG00000032180,Tmed1,TMED1,-0.13574991841195705,0.03529508491512979,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000024516,Sec11c,SEC11C,-0.13561067471225322,0.016611531804180648,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000005034,Prkacb,PRKACB,0.1353930198560879,0.024474451223824377,0.9999896186065661,up,26.25182340504871,4,4,0,FALSE
ENSMUSG00000050945,Zfp438,ZNF438,0.13537991108819897,0.02193891293138944,0.9999896186065661,up,43.93296290217075,4,4,0,FALSE
ENSMUSG00000041126,H2az2,H2AFV,-0.13484040976864034,0.00370787442672021,0.9999896186065661,down,0.009631397675038606,4,0,4,FALSE
ENSMUSG00000028163,Nfkb1,NFKB1,-0.13453117163970196,0.004765734857575958,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000026111,Unc50,UNC50,-0.13408092951142023,0.020302877618520523,0.9999896186065661,down,39.92383137346751,4,0,4,FALSE
ENSMUSG00000026199,Ankzf1,ANKZF1,-0.13379831698237368,0.00682169482637945,0.9999896186065661,down,6.02562014198623,4,0,4,FALSE
ENSMUSG00000001056,Nhp2,NHP2,-0.13362649863815662,0.042863655535244065,0.9999896186065661,down,2.1897257686465707e-4,4,1,3,FALSE
ENSMUSG00000051671,Coa6,NA,-0.1327704553876879,0.048163033778006015,0.9999896186065661,down,0.015704065785660904,4,0,4,FALSE
ENSMUSG00000019659,Ccdc12,CCDC12,-0.13270755864740275,0.013672386189609653,0.9999896186065661,down,3.7649970828193546,4,0,4,FALSE
ENSMUSG00000019579,Mydgf,C19orf10,-0.1324468322739573,0.02863368995118713,0.9999896186065661,down,31.78232078945546,4,0,4,FALSE
ENSMUSG00000038679,Trps1,TRPS1,0.13176242896617518,0.004338555448626833,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000027671,Actl6a,ACTL6A,-0.1315720047031828,0.004096370386368549,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000051234,Rnf7,RNF7,-0.13153276188885535,0.03651532686523149,0.9999896186065661,down,21.74916348126259,4,0,4,FALSE
ENSMUSG00000028955,Vamp3,VAMP3,-0.1314444253125688,0.005342559967354373,0.9999896186065661,down,0,4,1,3,FALSE
ENSMUSG00000060032,H2aj,H2AFJ,-0.1312470873955508,0.03411735468817062,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000053963,Stum,C1orf95,0.13044047578711734,0.04954162023791807,0.9999896186065661,up,19.146248988611404,4,4,0,FALSE
ENSMUSG00000004347,Pde1c,PDE1C,-0.13032094312023376,0.0392333478485762,0.9999896186065661,down,20.350577959057297,4,0,4,FALSE
ENSMUSG00000046550,Spin2c,NA,0.13032011269689175,0.03648085308900103,0.9999896186065661,up,0.017386597910234412,4,3,1,FALSE
ENSMUSG00000033022,Cdo1,CDO1,0.13017761334267455,0.019511334911783904,0.9999896186065661,up,18.9913949881125,4,4,0,FALSE
ENSMUSG00000022456,Septin3,SEPT3,0.12999361704096826,0.023564450467494714,0.9999896186065661,up,24.984884771373192,4,4,0,FALSE
ENSMUSG00000022498,Txndc11,TXNDC11,-0.12998685088188994,0.008963027698325982,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000042203,Tbc1d22b,TBC1D22B,0.12980290483446913,0.02786599916347678,0.9999896186065661,up,29.90047256435743,4,3,1,FALSE
ENSMUSG00000020532,Acaca,ACACA,0.1297839653309096,0.015851416751689242,0.9999896186065661,up,45.62684176182332,4,4,0,FALSE
ENSMUSG00000028434,Epb41l4b,EPB41L4B,0.12968539211623545,0.006678221236616133,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000046675,Lyset,TMEM251,-0.12924357499907743,0.0147037654063366,0.9999896186065661,down,0,4,0,4,FALSE
