osd_id,tissue_stratum,n_flight,n_ground,n_sig
OSD-47,liver_immune,5,5,25
OSD-48,liver_immune,8,8,81
OSD-137,liver_immune,6,6,0
OSD-164,liver_immune,6,6,0
OSD-168,liver_immune,14,14,3989
OSD-173,liver_immune,2,2,511
OSD-242,liver_immune,5,4,943
OSD-244,liver_immune,19,19,6872
OSD-245,liver_immune,20,19,684
OSD-246,liver_immune,15,16,0
OSD-288,liver_immune,6,3,65
OSD-289,liver_immune,12,3,1178
OSD-352,brain,9,9,0
OSD-379,liver_immune,35,35,996
OSD-420,liver_immune,10,10,214
OSD-421,liver_immune,10,10,1925
OSD-423,liver_immune,10,10,1274
OSD-457,brain,96,0,114
OSD-463,liver_immune,12,10,3757
OSD-506,liver_immune,9,10,322
OSD-515,liver_immune,10,10,16614
OSD-525,brain,10,10,2022
OSD-561,brain,16,12,1
OSD-562,brain,16,12,1
OSD-563,brain,5,5,26
OSD-564,brain,5,5,1667
OSD-612,brain,5,5,2076
OSD-613,brain,9,9,431
OSD-686,liver_immune,6,3,640
OSD-690,liver_immune,12,12,5041
