gene_id,mouse_symbol,human_symbol,pooled_log2FC,pvalue,padj,direction,I2,k,n_studies_up,n_studies_down,core
ENSMUSG00000114298,NA,NA,2.530183918233557,2.2730453104628376e-5,0.7339893846110156,up,0,2,2,0,TRUE
ENSMUSG00000102948,Gm6101,NA,2.396243950379908,0.011237172660509049,0.9999945021158422,up,13.927025997980474,2,2,0,TRUE
ENSMUSG00000028715,Cyp4a14,NA,2.011899918815581,0.0014037873426548586,0.9999945021158422,up,99.12587353402367,10,8,2,TRUE
ENSMUSG00000066072,Cyp4a10,CYP4A11,1.314769800582485,0.006029359182343456,0.9999945021158422,up,97.71156512047902,10,8,2,TRUE
ENSMUSG00000032080,Apoa4,APOA4,1.1964989467602134,0.004584651548262366,0.9999945021158422,up,98.49402246278683,10,9,1,TRUE
ENSMUSG00000026691,Fmo3,FMO3,1.0939242188082157,0.04471352019077774,0.9999945021158422,up,98.05731817306412,10,7,3,TRUE
ENSMUSG00000032098,Treh,TREH,1.069811176401707,0.0038506777685125425,0.9999945021158422,up,97.44977849242926,10,9,1,TRUE
ENSMUSG00000112538,NA,NA,1.0677945042616659,0.0297355717752454,0.9999945021158422,up,0,2,2,0,TRUE
ENSMUSG00000074373,NA,NA,1.0055532827164944,0.027539506254143795,0.9999945021158422,up,97.02977609383603,8,6,2,TRUE
ENSMUSG00000030017,Reg3g,REG3G,0.8680024240353459,0.04126275592875701,0.9999945021158422,up,76.7209275755652,5,5,0,TRUE
ENSMUSG00000060317,Acnat2,NA,0.8442948982862475,0.030977309520845646,0.9999945021158422,up,97.59374430437047,9,8,1,TRUE
ENSMUSG00000019232,Etnppl,ETNPPL,0.7323772640215448,0.04241173809072637,0.9999945021158422,up,96.58139072283728,9,7,2,TRUE
ENSMUSG00000030483,Cyp2b10,CYP2B6,0.6949005066969373,0.03950574754019767,0.9999945021158422,up,96.86704701043617,10,8,2,TRUE
ENSMUSG00000059854,Hydin,HYDIN,0.6824079447118594,0.03322501824731515,0.9999945021158422,up,95.78487301048365,8,6,2,TRUE
ENSMUSG00000023067,Cdkn1a,CDKN1A,0.6714844077888411,0.01591066987858011,0.9999945021158422,up,96.09023801992134,11,8,3,TRUE
ENSMUSG00000094164,NA,NA,0.6692227336446126,0.01915434277083155,0.9999945021158422,up,91.9347320677463,8,6,2,TRUE
ENSMUSG00000024411,Aqp4,AQP4,0.6544265803689616,0.01469248321933312,0.9999945021158422,up,95.44198923870808,10,7,3,TRUE
