osd_id,glds_id,title,organism,tissue,project_type,project_id,mission,flight_program
OSD-574,GLDS-566,"SpaceX Inspiration4 Deltoid Skin and Microbiome Data: Spatial Transcriptomics (NanoString GeoMx), Metageomics, and Metatranscriptomics",Homo sapiens; Microbiota; Not Applicable,Swab,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,
OSD-574,GLDS-566,"SpaceX Inspiration4 Deltoid Skin and Microbiome Data: Spatial Transcriptomics (NanoString GeoMx), Metageomics, and Metatranscriptomics",Homo sapiens; Microbiota; Not Applicable,Skin Biopsy,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,
OSD-574,GLDS-566,"SpaceX Inspiration4 Deltoid Skin and Microbiome Data: Spatial Transcriptomics (NanoString GeoMx), Metageomics, and Metatranscriptomics",Homo sapiens; Microbiota; Not Applicable,Not Applicable,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,
OSD-624,GLDS-611,Arabidopsis transcriptome in Virgin Galactic human-tended suborbital spaceflight,Arabidopsis thaliana,,High Altitude Study,UF-HT-KFT-01,Unity 22,Virgin Galactic SpaceShipTwo
OSD-635,GLDS-608,Spaceflight effects on human vascular smooth muscle cell phenotype and function,Homo sapiens,Cells,Spaceflight Study,Bioscience-3,SpaceX-17,International Space Station (ISS)
OSD-684,GLDS-615,Human skeletal muscle tissue chip autonomous payload reveals changes in fiber type and metabolic gene expression due to spaceflight,Homo sapiens,Myoblasts,Ground Study,CUBELAB,SpaceX-21,International Space Station (ISS)
OSD-781,GLDS-678,Skeletal muscle-on-a-chip in microgravity as a platform for regeneration modeling and drug screening - myoblast data,Homo sapiens,primary cell,Spaceflight Study,CM,NG-16,International Space Station (ISS)
OSD-811,GLDS-693,Space microgravity increases expression of genes associated with proliferation and differentiation in human cardiac spheres,Homo sapiens,"Cells, Cultured",Spaceflight Study,MVP2-Cell-03,SpaceX-20,International Space Station (ISS)
OSD-863,GLDS-716,Effects of microgravity on human iPSC-derived neural organoids on the International Space Station - cortical organoids,Homo sapiens,"Cells, Cultured",Spaceflight Study,CubeLab_HSAPIENS_SpaceX-19,SpaceX-19,
OSD-867,GLDS-719,Impact of spaceflight on gene expression in cultured human mesenchymal stem/stromal cell,Homo sapiens,"Cells, Cultured",Spaceflight Study,PHAB_HSAPIENS_SpaceX-10,SpaceX-10,
OSD-871,GLDS-720,Effects of microgravity on human iPSC-derived neural organoids on the International Space Station - dopaminergic organoids,Homo sapiens,"Cells, Cultured",Spaceflight Study,CubeLab_HSAPIENS_SpaceX-19,SpaceX-19,
OSD-903,GLDS-732,Longitudinal transcriptomic and epigenetic analysis in astronauts reveals dynamic immune response to spaceflight [RNA-seq],Homo sapiens,Whole Blood,Spaceflight Study,Microgravity Pain (Ax-1),AX-1,
OSD-936,GLDS-764,Gravitational and mechanical forces drive mitochondrial translation- human HEK293 cell datasets,Homo sapiens,Cultured Cells,Spaceflight Study,Ribosome Profiling,NG-14,International Space Station (ISS)
OSD-937,GLDS-765,Microgravity accelerates skeletal muscle degeneration: Functional and transcriptomic insights from an ISS muscle lab-on-chip model,Homo sapiens,"Cells, Cultured",Spaceflight Study,Human Muscle-on-Chip,SpaceX-25,International Space Station (ISS)
OSD-990,GLDS-801,Transcriptional Response in Human Jurkat T Lymphocytes to a near Physiological Hypergravity Environment and to One Common in Routine Cell Culture Protocols - 9g hypergravity experiment,Homo sapiens,"Cells, Cultured",Ground Study,Simulated_Hypergravity,,
OSD-998,GLDS-807,Transcriptional Response in Human Jurkat T Lymphocytes to a near Physiological Hypergravity Environment and to One Common in Routine Cell Culture Protocols - 300 g centrifugation and heat stress experiment,Homo sapiens,"Cells, Cultured",Ground Study,Simulated_Hypergravity,,
OSD-1005,GLDS-812,"PROtection MEdiated by Antioxidant NanoTEchnOlogy Against Neuronal Damage in Space 2 (PROMETEO 2, Nano Protection)",Homo sapiens,"Cells, Cultured",Spaceflight Study,"PROMETEO II, Simulated_Microgravity",Ax-3,International Space Station (ISS)
