osd_id,glds_id,title,organism,tissue,tissue_stratum,project_type,project_id,mission,flight_program,factor_type
OSD-574,GLDS-566,"SpaceX Inspiration4 Deltoid Skin and Microbiome Data: Spatial Transcriptomics (NanoString GeoMx), Metageomics, and Metatranscriptomics",Homo sapiens; Microbiota; Not Applicable,Skin Biopsy,other,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,,Space Flight; time
OSD-574,GLDS-566,"SpaceX Inspiration4 Deltoid Skin and Microbiome Data: Spatial Transcriptomics (NanoString GeoMx), Metageomics, and Metatranscriptomics",Homo sapiens; Microbiota; Not Applicable,Not Applicable,other,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,,Space Flight; time
OSD-576,GLDS-570,Transcriptional profiling of tibialis anterior muscle from mice flown on the RR-23 mission,Mus musculus,Right tibialis anterior,other,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-580,GLDS-573,Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission,Mus musculus,Heart,other,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age; Euthanasia Location
OSD-580,GLDS-573,Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission,Mus musculus,heart right ventricle,other,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age; Euthanasia Location
OSD-599,GLDS-596,Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station,Mus musculus,Heart,other,Spaceflight Study,RR-12,NG-11,International Space Station (ISS),Space Flight
OSD-665,GLDS-604,Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission,Mus musculus,Right extensor digitorum longus,other,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-666,GLDS-605,Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission,Mus musculus,Right quadriceps femoris,other,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-667,GLDS-606,Transcriptional profiling of colon from mice flown on the RR-10 mission,Mus musculus,Colon,other,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight; Genotype
OSD-714,GLDS-638,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,Mus musculus,Soleus,other,Spaceflight Study,"MHU-1, MHU-4, MHU-5",SpaceX-9,International Space Station (ISS),"Space Flight; Gravity, Altered; Space Mission"
OSD-714,GLDS-638,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,Mus musculus,Soleus,other,Spaceflight Study,"MHU-1, MHU-4, MHU-5",SpaceX-17,International Space Station (ISS),"Space Flight; Gravity, Altered; Space Mission"
OSD-714,GLDS-638,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,Mus musculus,Soleus,other,Spaceflight Study,"MHU-1, MHU-4, MHU-5",SpaceX-20,International Space Station (ISS),"Space Flight; Gravity, Altered; Space Mission"
OSD-758,GLDS-664,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data,Mus musculus,Right retina,other,Spaceflight Study,MHU-8,SpaceX-27,International Space Station (ISS),"Space Flight; Gravity, Altered"
OSD-759,GLDS-665,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data,Mus musculus,Right optic nerve,other,Spaceflight Study,MHU-8,SpaceX-27,International Space Station (ISS),"Space Flight; Gravity, Altered"
OSD-770,GLDS-673,Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission,Mus musculus,Right soleus,other,Spaceflight Study,RR-23,SpaceX-21,Rodent Research (RR),Space Flight
OSD-771,GLDS-674,Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2),Mus musculus,Right kidney,other,Spaceflight Study,RR-17,SpaceX-18,Rodent Research (RR),Space Flight; age; Euthanasia Location
OSD-781,GLDS-678,Skeletal muscle-on-a-chip in microgravity as a platform for regeneration modeling and drug screening - myoblast data,Homo sapiens,primary cell,other,Spaceflight Study,CM,NG-16,International Space Station (ISS),Space Flight; treatment
OSD-793,GLDS-689,Mission SpaceX CRS-16 RRRM-1 space flight induced skin genomic plasticity via an epigenetic trigger,Mus musculus,femoral skin,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,,Space Flight; Euthanasia Location; Dissection Condition; duration
OSD-811,GLDS-693,Space microgravity increases expression of genes associated with proliferation and differentiation in human cardiac spheres,Homo sapiens,"Cells, Cultured",other,Spaceflight Study,MVP2-Cell-03,SpaceX-20,International Space Station (ISS),"Space Flight; Gravity, Altered"
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Eye,other,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Testis,other,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Intestines,other,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Ovary,other,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
OSD-899,GLDS-728,Transcriptional profiling of cecum from mice flown on the RR-10 mission,Mus musculus,Cecum,other,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight; Genotype
OSD-900,GLDS-729,Transcriptional profiling of lungs from mice flown on the RR-10 mission,Mus musculus,Right Lung,other,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight; Genotype
OSD-901,GLDS-730,Expression data from cultured mouse spermatogonia cryopreserved on the International Space Station (ISS) or on Earth,Mus musculus,"Cells, Cultured",other,Spaceflight Study,MELFI_MMUSCULUS_SPACEX-25,SpaceX-25,,Space Flight
OSD-901,GLDS-730,Expression data from cultured mouse spermatogonia cryopreserved on the International Space Station (ISS) or on Earth,Mus musculus,"Cells, Cultured",other,Spaceflight Study,MELFI_MMUSCULUS_SPACEX-25,SpaceX-26,,Space Flight
OSD-904,GLDS-738,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Subcutaneous Adipose Tissue (SCAT) data,Mus musculus,subcutaneous adipose tissue,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; Euthanasia Location; Dissection Condition; Age
OSD-906,GLDS-740,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - brown adipose tissue (BAT) data,Mus musculus,Brown Adipose Tissue,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Dissection Condition; Space Flight; Euthanasia Location
OSD-908,GLDS-742,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Heart data,Mus musculus,Heart,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Dissection Condition; Euthanasia Location; Space Flight
OSD-909,GLDS-743,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Pancreas data,Mus musculus,Pancreas,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Dissection Condition; Euthanasia Location; Space Flight
OSD-911,GLDS-745,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Gonadal Adipose Tissue (GAT) data,Mus musculus,gonadal adipose tissue,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Space Flight; Euthanasia Location; Dissection Condition
OSD-912,GLDS-733,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Mesenteric Adipose Tissue (MAT) data,Mus musculus,mesenteric adipose tissue,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; Euthanasia Location; Age; Dissection Condition
OSD-913,GLDS-735,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Kidney data,Mus musculus,Kidney,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; Age; Euthanasia Location; Dissection Condition
OSD-914,GLDS-736,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Diaphragm data,Mus musculus,Diaphragm,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; Age; Euthanasia Location; Dissection Condition
OSD-915,GLDS-737,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Lung data,Mus musculus,Lung,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; Euthanasia Location; Age; Dissection Condition
OSD-919,GLDS-747,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Bone data,Mus musculus,"femurs, hip bones and vertebral columns",other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-920,GLDS-748,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Eye data,Mus musculus,eye,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-921,GLDS-749,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Heart atria data,Mus musculus,Heart Atria,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-922,GLDS-750,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Heart ventricles data,Mus musculus,Heart Ventricles,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-923,GLDS-751,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Large intestine data,Mus musculus,"Intestine, Large",other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-924,GLDS-752,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - limb muscle data,Mus musculus,limb muscle,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-933,GLDS-761,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Skeletal stem cells data,Mus musculus,skeletal stem cells,other,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-937,GLDS-765,Microgravity accelerates skeletal muscle degeneration: Functional and transcriptomic insights from an ISS muscle lab-on-chip model,Homo sapiens,"Cells, Cultured",other,Spaceflight Study,Human Muscle-on-Chip,SpaceX-25,International Space Station (ISS),Space Flight; age; treatment; time
OSD-961,GLDS-787,Beneficial microbes mitigate molecular stress responses and accelerate developmental pathways in host animals during spaceflight,Euprymna scolopes,Light Organ,other,Spaceflight Study,ADSEP-UMAMI,SpaceX-22,International Space Station (ISS),Space Flight; treatment; time
OSD-98,GLDS-98,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Adrenal glands- both sides,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-98,GLDS-98,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Not Applicable,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-99,GLDS-99,Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data,Mus musculus,Extensor digitorum longus- both sides,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
