osd_id,glds_id,title,organism,tissue,tissue_stratum,project_type,project_id,mission,flight_program,factor_type
OSD-405,GLDS-405,Single cell transcriptional profiling of spleens from mice flown on Rodent Research Reference Mission-2 (RRRM-2),Mus musculus,Spleen,liver_immune,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age
OSD-420,GLDS-420,Transcriptional profiling of spleens from mice flown on the RR-9 mission,Mus musculus,Spleen-distal,liver_immune,Spaceflight Study,RR-9,SpaceX-12,International Space Station (ISS),Space Flight
OSD-421,GLDS-421,Transcriptional profiling of thymus from mice flown on the RR-9 mission,Mus musculus,thymus,liver_immune,Spaceflight Study,RR-9,SpaceX-12,International Space Station (ISS),Space Flight
OSD-423,GLDS-423,Transcriptional profiling of thymus tissue from rats flown on the SLS-2 mission,Rattus norvegicus,thymus,liver_immune,Spaceflight Study,SLS-2,STS-58,Space Transportation System (Shuttle),Space Flight
OSD-457,GLDS-457,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space flight,Mus musculus,Spleen,liver_immune,Spaceflight Study,MHU-3,SpaceX-14,International Space Station (ISS),Space Flight; tissue; Genotype
OSD-457,GLDS-457,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space flight,Mus musculus,Liver,liver_immune,Spaceflight Study,MHU-3,SpaceX-14,International Space Station (ISS),Space Flight; tissue; Genotype
OSD-457,GLDS-457,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space flight,Mus musculus,thymus,liver_immune,Spaceflight Study,MHU-3,SpaceX-14,International Space Station (ISS),Space Flight; tissue; Genotype
OSD-463,GLDS-463,Transcriptional profiling of livers from mice flown on the RR-23 mission,Mus musculus,Left Lobe of the Liver,liver_immune,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-47,GLDS-47,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",Mus musculus,Liver,liver_immune,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-48,GLDS-48,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",Mus musculus,Liver,liver_immune,Spaceflight Study,RR-1,SpaceX-4,,Space Flight; dissection
OSD-506,GLDS-506,Transcriptional profiling of spleens from mice flown on the RR-23 mission,Mus musculus,Spleen,liver_immune,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-515,GLDS-515,Transcriptional profiling of thymus from mice flown on the RR-23 mission,Mus musculus,thymus,liver_immune,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-569,GLDS-561,"Whole Blood Measurements from the SpaceX Inspiration4 Mission (RNA-seq, epitranscriptome, WGS, clonal hematopoiesis, CBC)",Homo sapiens,Whole Blood,liver_immune,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,,time; Space Flight
OSD-570,GLDS-562,"SpaceX Inspiration4 PBMC Profiling: snRNA-seq, snATAC-seq, and T-cell and B-cell repertoire profiling",Homo sapiens,Peripheral Blood Mononuclear Cell,liver_immune,Spaceflight Study,Inspiration4 Crew,SpaceX Inspiration4,,time; Space Flight
OSD-686,GLDS-617,Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis,Mus musculus,Liver,liver_immune,Spaceflight Study,MHU-2,SpaceX-12,International Space Station (ISS),"Space Flight; Gravity, Altered"
OSD-690,GLDS-620,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,Mus musculus,Bone Marrow,liver_immune,Spaceflight Study,MHU-3,SpaceX-14,International Space Station (ISS),Space Flight; Genotype
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Liver,liver_immune,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
OSD-905,GLDS-739,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Liver data,Mus musculus,Liver,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Dissection Condition; Euthanasia Location; Age; Space Flight
OSD-907,GLDS-741,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Thymus data,Mus musculus,thymus,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Space Flight; Dissection Condition; Euthanasia Location
OSD-910,GLDS-744,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Spleen data,Mus musculus,Spleen,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Age; Space Flight; Euthanasia Location; Dissection Condition
OSD-918,GLDS-746,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Blood data,Mus musculus,Blood,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-926,GLDS-754,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Bone marrow data,Mus musculus,Bone Marrow,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-100,GLDS-100,Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,Mus musculus,left eye,other,Spaceflight Study,,SpaceX-4,International Space Station (ISS),Space Flight
OSD-101,GLDS-101,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",Mus musculus,Not Applicable,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-101,GLDS-101,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",Mus musculus,Left gastrocnemius,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-102,GLDS-102,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Not Applicable,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-102,GLDS-102,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Left kidney,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-103,GLDS-103,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Not Applicable,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-103,GLDS-103,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Left quadriceps femoris,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-104,GLDS-104,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,Mus musculus,Soleus-both sides,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight
OSD-105,GLDS-105,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Not Applicable,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station,Space Flight
OSD-105,GLDS-105,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data",Not Applicable; Mus musculus,Left tibialis anterior,other,Spaceflight Study,RR-1,SpaceX-4,International Space Station,Space Flight
OSD-161,GLDS-161,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",Mus musculus,Adrenal gland,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-161,GLDS-161,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",Mus musculus,Not applicable,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-162,GLDS-162,Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data,Mus musculus,eye,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-163,GLDS-163,"Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data",Mus musculus,Left kidney,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-194,GLDS-194,Rodent Research-3-CASIS: Mouse retina transcriptomic data,Mus musculus,Right retina,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-194,GLDS-194,Rodent Research-3-CASIS: Mouse retina transcriptomic data,Mus musculus,Left retina,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-217,GLDS-217,Characterization of Epigenetic Regulation in an Extraterrestrial Environment: The Arabidopsis Spaceflight Methylome,Arabidopsis thaliana,leaf,other,Spaceflight Study,,SpaceX-5,International Space Station (ISS),Space Flight; organism part
OSD-217,GLDS-217,Characterization of Epigenetic Regulation in an Extraterrestrial Environment: The Arabidopsis Spaceflight Methylome,Arabidopsis thaliana,root,other,Spaceflight Study,,SpaceX-5,International Space Station (ISS),Space Flight; organism part
OSD-238,GLDS-238,Transcriptomic analysis of dorsal skin from mice flown on the MHU-2 mission,Mus musculus,dorsal skin,other,Spaceflight Study,MHU-2,SpaceX-12,ISS,"Space Flight; Diet; Gravity, Altered"
OSD-239,GLDS-239,Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,Mus musculus,femoral skin,other,Spaceflight Study,MHU-2,SpaceX-12,ISS,"Space Flight; Diet; Gravity, Altered"
OSD-240,GLDS-240,Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission,Mus musculus,dorsal skin,other,Spaceflight Study,RR-5,SpaceX-11,International Space Station (ISS),Space Flight
OSD-241,GLDS-241,Transcriptional analysis of femoral skin from mice flown on the RR-5 mission,Mus musculus,femoral lateral skin,other,Spaceflight Study,RR-5,SpaceX-11,International Space Station (ISS),Space Flight
OSD-243,GLDS-243,Transcriptional analysis of dorsal skin from mice flown on the RR-6 mission,Mus musculus,dorsal skin,other,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; dissection; Euthanasia Location
OSD-247,GLDS-247,Transcriptional analysis of colon from mice flown on the RR-6 mission,Mus musculus,descending colon,other,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; dissection; Euthanasia Location
OSD-248,GLDS-248,Transcriptional analysis of lung from mice flown on the RR-6 mission,Mus musculus,Left Lung,other,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; Dissection Condition; Euthanasia Location
OSD-253,GLDS-253,Transcriptional analysis of kidneys from mice flown on the RR-7 mission,Mus musculus,Left kidney,other,Spaceflight Study,RR-7,SpaceX-15,International Space Station (ISS),Space Flight; strain; duration; treatment
OSD-254,GLDS-254,Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,Mus musculus,dorsal skin,other,Spaceflight Study,RR-7,SpaceX-15,International Space Station (ISS),Space Flight; strain; duration
OSD-255,GLDS-255,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",Mus musculus,Right retina,other,Spaceflight Study,RR-9,SpaceX-12,International Space Station (ISS),Space Flight
OSD-270,GLDS-270,Bulk and spatially resolved transcriptional analysis of hearts from mice flown on the RR-3,Mus musculus,Heart,other,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
