gene_id,baseMean,log2FC,SE,stat,pvalue,padj,osd_id,tissue_stratum
ENSMUSG00000000001,1595.9007382531004,0.13842137823771195,0.09613518791844805,1.852662150774135,0.06393079821675265,0.31474339828298614,OSD-686,liver_immune
ENSMUSG00000000028,23.945873301815954,0.07302771499848754,0.1571082566335579,1.4972039792097231,0.13434019029778854,0.4499786606933538,OSD-686,liver_immune
ENSMUSG00000000031,5.074874407037685,-0.0251022220597638,0.1408984841260221,-1.0907889509267654,0.27536575939638736,NA,OSD-686,liver_immune
ENSMUSG00000000049,26690.82590961119,0.22097508172938046,0.14144457996204204,2.3110038524680845,0.020832642102492818,0.17359251496864625,OSD-686,liver_immune
ENSMUSG00000000056,556.7637881191127,0.06043837986420953,0.11469714079107839,0.8352314034347933,0.40358743148202525,0.720163138060814,OSD-686,liver_immune
ENSMUSG00000000058,48.052993133567256,0.029799206690786405,0.13270156715813794,0.592496197392496,0.5535183663504346,0.8142030004919815,OSD-686,liver_immune
ENSMUSG00000000078,127.38447348892969,0.07738977538198041,0.12177865204517224,1.0437181962813087,0.29661578857376925,0.637125594537553,OSD-686,liver_immune
ENSMUSG00000000085,107.36540959923649,-0.004280201973227361,0.11062676923390652,-0.06528795695478971,0.9479447308447777,0.9855019748544699,OSD-686,liver_immune
ENSMUSG00000000088,1996.5541442123256,-0.23303061020279983,0.14382965183219384,-2.3577615154458353,0.018385500191611923,0.16141773953174296,OSD-686,liver_immune
ENSMUSG00000000093,39.84400652536319,0.03489182968641953,0.13371497578448333,0.6819622614262364,0.4952628141752756,0.7767969599648825,OSD-686,liver_immune
ENSMUSG00000000120,49.484693284628946,0.06143730761168501,0.14367542672210154,1.1080978786935027,0.26781954701139954,0.6122365709570938,OSD-686,liver_immune
ENSMUSG00000000126,14.202238144556492,0.02525214789037055,0.13740316824774154,0.6847399435782101,0.49350803866739085,0.7757471126503035,OSD-686,liver_immune
ENSMUSG00000000127,79.7407605363167,-0.0821478232502436,0.14671910164700397,-1.2336605161816743,0.21732943259125856,0.56190059702078,OSD-686,liver_immune
ENSMUSG00000000131,549.7299597648279,0.1111245030830064,0.10464595297494064,1.4542333113271952,0.14588163248531327,0.4701504144707538,OSD-686,liver_immune
ENSMUSG00000000134,454.8057779949047,0.15652337414522377,0.1539143950181962,1.7708071228043862,0.0765927810769476,0.34679992501672047,OSD-686,liver_immune
ENSMUSG00000000142,144.1055930108791,-0.1732223247880304,0.21027190173476723,-1.8944978828123353,0.058158955123866554,0.3003498404875627,OSD-686,liver_immune
ENSMUSG00000000148,222.38233705548893,-0.07694482701671937,0.11860888792358673,-1.027752736450735,0.30406615391241143,0.6413293681241335,OSD-686,liver_immune
ENSMUSG00000000149,2169.6926479815447,0.18973215347499311,0.15834420741543478,2.019610246283117,0.043423831496562745,0.2605079963321125,OSD-686,liver_immune
ENSMUSG00000000154,1250.6147982695772,0.25296208559786126,0.13212805823893758,2.6421820491119896,0.008237376636486434,0.10587849088641649,OSD-686,liver_immune
ENSMUSG00000000157,2.0138040036355043,-0.013503102828418968,0.13975464259116188,-0.960644734146923,0.3367308279561503,NA,OSD-686,liver_immune
ENSMUSG00000000159,137.18283930399568,-0.17895670115643306,0.16114786470979275,-1.9062178593225825,0.056621946072570636,0.2970345999555645,OSD-686,liver_immune
ENSMUSG00000000167,10.779361951522786,-0.006479192345207901,0.13549455396695012,-0.19852378996887968,0.8426352734457787,0.9480114923000832,OSD-686,liver_immune
ENSMUSG00000000168,901.9253465336388,-0.35834741076732535,0.16665758525062482,-2.9679115600742203,0.002998305867755989,0.058179348419565485,OSD-686,liver_immune
ENSMUSG00000000171,3091.285091751055,-0.20176052822164525,0.10578138574959782,-2.440255709473497,0.014676868847139245,0.14311926863865324,OSD-686,liver_immune
ENSMUSG00000000184,122.24033321369593,0.4035833147308926,0.2197794600831802,2.874010638079984,0.004052953113407344,0.07053127205603679,OSD-686,liver_immune
ENSMUSG00000000194,369.0007607325137,0.03916634135081324,0.10100239481545852,0.5505532833157287,0.5819399411043087,0.8329103754643556,OSD-686,liver_immune
ENSMUSG00000000204,2.7806069451839677,-0.002287912842811274,0.1379729361821163,-0.1135207163508732,0.9096177399698581,NA,OSD-686,liver_immune
ENSMUSG00000000247,44.97503850661022,-0.09710229158255838,0.16193660050959943,-1.4607548881983041,0.1440827199911653,0.4685882464527502,OSD-686,liver_immune
ENSMUSG00000000253,8.798477545903747,-0.008052201627657947,0.13712438012215455,-0.3021754261103688,0.7625183362615574,0.9138064341990213,OSD-686,liver_immune
ENSMUSG00000000266,79.59916188355288,0.04387819550132828,0.13090683768941494,0.7372972729808592,0.46094159022451825,0.7552588176118656,OSD-686,liver_immune
ENSMUSG00000000275,2014.4679402267334,0.04603818707847889,0.10971015105481935,0.6475692129310863,0.5172636152189991,0.7917500133637206,OSD-686,liver_immune
ENSMUSG00000000276,42.41010817533026,-0.014521321239997255,0.12496625245677391,-0.25771245553480454,0.7966288326129455,0.9295232744079495,OSD-686,liver_immune
ENSMUSG00000000278,481.4733877976535,0.004351756758621605,0.10499416162552884,0.060932116957799064,0.9514132713240813,0.9856708105122592,OSD-686,liver_immune
ENSMUSG00000000282,222.3955718754989,-0.09856347815670562,0.13116904939675667,-1.2654726708828508,0.20570193909719733,0.5518007481910506,OSD-686,liver_immune
ENSMUSG00000000290,69.1608470245572,0.06724510862473272,0.13741748777895027,1.0344290034714287,0.30093565128442606,0.6392981156039059,OSD-686,liver_immune
ENSMUSG00000000295,10.858750774936626,-0.045569558148564476,0.14704114110597227,-1.4943874579846963,0.13507437778982403,0.45104836672335313,OSD-686,liver_immune
ENSMUSG00000000296,72.43147601428832,-0.0731226045087178,0.1344410390412632,-1.0555104034613931,0.2911919539952318,0.6333780373525961,OSD-686,liver_immune
ENSMUSG00000000301,3586.063009167193,-0.20692953862094993,0.11676645677189769,-2.372222419927181,0.01768144326902674,0.15804615913438047,OSD-686,liver_immune
ENSMUSG00000000303,581.1266723831577,-0.10266459168300386,0.18254993178403142,-1.833327019490708,0.06675395355304958,0.3228828568853514,OSD-686,liver_immune
ENSMUSG00000000305,13.910293270910305,1.1788000339946665,0.9726904677279883,2.913238246729508,0.003577015788611711,0.06510842735556498,OSD-686,liver_immune
ENSMUSG00000000317,21.46278253412308,-0.02266944466272968,0.13710125333902656,-0.6381580967652482,0.5233707712544351,0.7952984121641138,OSD-686,liver_immune
ENSMUSG00000000318,2.663626348050253,-0.011281209678875807,0.1389590265093732,-0.6238606713512875,0.5327190906193568,NA,OSD-686,liver_immune
ENSMUSG00000000320,5.699795648814031,-0.01576322586115871,0.1389397226999574,-0.7061184340333542,0.48011448886414493,NA,OSD-686,liver_immune
ENSMUSG00000000326,12616.542640044261,-0.33505820172330375,0.16072669673943613,-2.908838925158186,0.0036277371661730977,0.06571761548474599,OSD-686,liver_immune
ENSMUSG00000000339,146.089806961237,-0.012860506070738078,0.11368795718904864,-0.1958567066469094,0.8447223240017282,0.9489969022926875,OSD-686,liver_immune
