stratum,compound,lincs_rank,best_z_sum,n_reversing_sigs,moa,clinical_phase,drug_targets,n_targets,signature_gene_overlap,n_gene_overlap,foodb_matched,foodb_name,is_known_nutrient,vegan_food_sources,n_vegan_foods
brain,Vemurafenib,1,-9.679257533432324,1,RAF inhibitor,Launched,BRAF; RAF1,2,BRAF,1,False,,False,,0
brain,Chlorambucil,2,-7.2407576354731775,2,DNA inhibitor,Launched,,0,,0,False,,False,,0
brain,Formoterol,3,-6.936082062002631,2,adrenergic receptor agonist,Launched,ADRB2,1,,0,False,,False,,0
brain,Casiigly,4,-6.92327778723654,1,,,,0,,0,False,,False,,0
brain,Bicalutamide,5,-6.515716548110959,1,androgen receptor antagonist,Launched,AR,1,,0,False,,False,,0
brain,Sangivamycin,6,-5.997730983814457,1,DNA inhibitor,Phase 1,,0,,0,False,,False,,0
brain,Sulforaphane,7,-5.89138569900939,2,anticancer agent|aryl hydrocarbon receptor antagonist,Phase 2,NFE2L2,1,,0,True,Sulforaphane,True,Broccoli; Cabbage; White cabbage,3
brain,Sapphyrin,8,-5.673525125447933,4,,,,0,,0,False,,False,,0
brain,Arachidonic,9,-5.402471681858998,1,,,,0,,0,True,Arachidonic acid,False,Almond; Apple; Apricot; Globe artichoke; Asparagus; Avocado; Wheat bread; Banana; Barley; Common bean; Mung bean; Adzuki bean; Soy bean; Red beetroot; Bilberry,133
brain,Ascorbic,10,-5.297254789546903,2,,,,0,,0,True,Ascorbic acid,True,Almond; Apple; Apricot; Globe artichoke; Asparagus; Avocado; Wheat bread; Banana; Barley; Common bean; Mung bean; Adzuki bean; Soy bean; Red beetroot; Bilberry,327
brain,Doxorubicin,11,-5.1152779338269685,2,topoisomerase inhibitor,Launched,TOP2A,1,,0,False,,False,,0
brain,Actinomycin,12,-5.059229498052583,2,,,,0,,0,False,,False,,0
brain,Telapristone,13,-4.989098848484495,1,,,,0,,0,False,,False,,0
brain,Cetuximab,14,-4.593755708484538,2,,,,0,,0,False,,False,,0
brain,Motexafin,15,-4.523424845374824,4,,,,0,,0,False,,False,,0
brain,Bpde,16,-4.477301482434627,2,,,,0,,0,False,,False,,0
brain,Chlorpyrifos,17,-4.414568404930535,2,acetylcholinesterase inhibitor,Launched,ACHE,1,,0,False,,False,,0
brain,Anastrozole,18,-4.402295201479817,2,aromatase inhibitor,Launched,CYP19A1,1,,0,False,,False,,0
brain,Luteolin,19,-4.310213539187698,2,glucosidase inhibitor,Phase 2,TOP1,1,,0,True,Luteolin,True,Olive; Globe artichoke; Celery stalks; Lentils; Common sage; Pistachio; Garden tomato (var.); Italian oregano; Garden onion (var.); Lettuce; Lemon verbena; Common thyme; Cherry tomato; Rosemary; Mexican oregano,292
brain,Cyfluthrin,20,-4.012779185481146,2,,,,0,,0,False,,False,,0
brain,Grepafloxacin,21,-3.8777074149360375,2,,,,0,,0,False,,False,,0
brain,Doxycycline,22,-3.814337986845596,2,bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor,Launched,MMP8,1,,0,False,,False,,0
brain,Laccaic,23,-3.638418724018064,2,,,,0,,0,False,,False,,0
brain,Cytarabine,24,-3.58029100814679,2,ribonucleotide reductase inhibitor,Launched,POLA1; POLB; POLD1; POLE,4,,0,True,Cytarabine,False,Mushrooms; Common mushroom,2
brain,Carboplatin,25,-3.4777359595090247,7,DNA alkylating agent|DNA inhibitor,Launched,,0,,0,False,,False,,0
