ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,5/141,33/11448,0.15151515151515152,12.30174081237911,7.260157744389503,4.7465203455703816e-5,0.015042346970637102,0.013531935871308479,CDK2/MCM10/RPA1/MCM4/DBF4,5
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,9/141,139/11448,0.06474820143884892,5.257002908311649,5.638725415662254,5.3341655924245043e-5,0.015042346970637102,0.013531935871308479,CDK2/CCNE1/WEE1/TK1/MCM10/RPA1/RBBP4/MCM4/DBF4,9
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,5/141,37/11448,0.13513513513513514,10.971822886716504,6.7841472736916435,8.379492956083756e-5,0.01575344675743746,0.014171633701166211,CDK2/MCM10/RPA1/MCM4/DBF4,5
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,14/141,361/11448,0.038781163434903045,3.148700418459362,4.632379673001237,1.4347280030352886e-4,0.02022966484279757,0.01819839203850024,BTG2/SESN1/RABGGTB/CCNT1/CNOT8/RMI1/CDK2/CCNE1/RRAGD/CSNK2A2/RPA1/RBBP4/WRN/CNOT6,14
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,5/141,49/11448,0.10204081632653061,8.284845853234911,5.706459395862253,3.256284163200817e-4,0.03673088536090521,0.03304271508763777,BTG2/CNOT8/CDK2/CCNE1/CNOT6,5
