ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,177,-0.569118237892438,-2.1264731093138294,1e-10,5e-9,3.5789473684210532e-9,1783,"tags=44%, list=12%, signal=39%",FH/ATP6V0E1/FDX1/COX6A1/ECH1/GPX4/SUCLG1/ATP6V0C/NDUFS2/TIMM8B/NDUFB4/NDUFV1/COX8A/NDUFA3/MRPL15/SURF1/TIMM10/MRPL34/HADHB/NDUFA2/NDUFS4/SDHC/MTRR/COX4I1/NDUFB8/OAT/SLC25A20/HSD17B10/HTRA2/UQCRB/MRPS22/UQCRFS1/NDUFA4/BCKDHA/NDUFB6/FXN/ACAA1/NDUFC1/NDUFS3/TIMM50/POLR2F/MRPL11/NDUFS8/MPC1/NDUFB1/COX7A2/CYC1/ECI1/NDUFA5/COX7B/NDUFA7/UQCR11/ATP6V1F/CYCS/TOMM22/COX17/NDUFB5/ATP6V0B/MRPS30/NDUFA6/UQCR10/NDUFS6/COX5A/NDUFS7/COX6B1/MRPS11/TIMM13/SDHD/BAX/NDUFB2/UQCRQ/NDUFB7/NDUFB3/NDUFC2/GRPEL1/NDUFAB1/NDUFA1
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,165,-0.5221047575149984,-1.9363577758401227,1.4370018336141027e-7,3.592504584035257e-6,2.5714769654147108e-6,3771,"tags=58%, list=24%, signal=44%",SET/POLE3/POLD2/CDC20/DEK/NCBP1/HPRT1/SSB/DHX15/SYNCRIP/BUB3/CANX/HSP90AB1/TUFM/SRPK1/LDHA/PSMB2/IMPDH2/ILF2/RSL1D1/PSMC4/YWHAQ/PSMD7/PPIA/HNRNPU/TXNL4A/NOP56/MRPL9/PRPF31/NPM1/TFDP1/XPO1/NOP16/PSMC6/SF3A1/SRM/CLNS1A/VDAC3/PA2G4/CCT7/SRSF1/CDK2/RUVBL2/IFRD1/MCM7/MCM2/PRDX4/PCBP1/UBE2E1/RANBP1/CCT5/GLO1/HNRNPC/RFC4/UBA2/CCT3/NCBP2/RRP9/SSBP1/SNRPA1/MAD2L1/PSMA6/FBL/CCT4/MRPS18B/CDC45/VBP1/EXOSC7/PSMA1/CNBP/PTGES3/RPLP0/CYC1/ERH/PSMA2/NME1/RAN/SNRPD1/PSMD14/TRA2B/SRSF3/COX5A/LSM2/SNRPD2/NHP2/GNL3/PSMA7/AIMP2/DUT/CDK4/HSPE1/PSMB3/SRSF7/HNRNPA2B1/LSM7/NDUFAB1
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,192,0.4873449927734408,1.881277826579791,2.1759828333147137e-7,3.6266380555245233e-6,2.5959093450070273e-6,2663,"tags=31%, list=17%, signal=26%",ARHGEF11/CDC27/CLASP1/RHOF/NF1/KIF3C/CDC42BPA/ARL8A/NEDD9/PALLD/MARK4/HDAC6/RICTOR/NET1/ABI1/TUBGCP2/SPTBN1/PAFAH1B1/CAPZB/CNTRL/VCL/CKAP5/STK38L/TIAM1/ABR/AKAP13/TUBGCP6/RFC1/ARHGEF12/CTTN/NOTCH2/PDLIM5/ABL1/KIF3B/ARHGDIA/HOOK3/ITSN1/SORBS2/RASAL2/ALS2/LATS1/DOCK2/RALBP1/ARHGEF2/CLIP2/APC/FLNB/BCL2L11/STAU1/SMC3/SSH2/RAB3GAP1/KIF1B/ALMS1/ACTN4/ARFIP2/CYTH2/NEK2/BRCA2/KIFAP3
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,141,-0.5048175390605663,-1.8451070234495477,2.186437710527663e-6,2.733047138159579e-5,1.9562863725773832e-5,2362,"tags=40%, list=15%, signal=35%",GTF2F1/VPS37B/GTF2H3/TAF12/SAC3D1/POLD1/BCAP31/ITPA/POLR3GL/TAF1C/UMPS/DGUOK/SMAD5/GPX4/POLB/CSTF3/RFC3/RFC4/PRIM1/ERCC8/RAD52/APRT/POLR2G/MRPL40/NCBP2/GTF2A2/POLD4/SURF1/RFC2/POLH/POLE4/TARBP2/POLR2H/POLR2C/ZNF707/POLR2E/POLR2F/TMED2/SNAPC5/CLP1/TAF9/MPC2/EDF1/NME1/COX17/POLR2D/POLA1/ADRM1/RPA3/TAF13/POLR2K/DUT/POLR1C/POLR1D/SUPT4H1/POLR2J/POLR2I
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,55,-0.5628251644696789,-1.7918566506815716,2.9850427033079415e-4,0.002797219555172289,0.0020022203131759542,2657,"tags=42%, list=17%, signal=35%",EXOSC5/NOP16/SRM/SLC19A1/TMEM97/PA2G4/HK2/MPHOSPH10/IMP4/RABEPK/RRP9/PRMT3/DCTPP1/NIP7/RCL1/TBRG4/NDUFAF4/FARSA/MRTO4/GNL3/AIMP2/CDK4/HSPE1
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,191,-0.417675897616634,-1.5725797497575515,3.3566634662067463e-4,0.002797219555172289,0.0020022203131759542,3743,"tags=39%, list=24%, signal=30%",ESPL1/KIF4A/POLD2/CHEK2/RNASEH2A/CDC20/DEK/SYNCRIP/LMNB1/CHEK1/DONSON/ORC6/RAD1/DNMT1/NUP107/LBR/NOP56/RPA2/CTCF/CSE1L/TACC3/XPO1/BRCA1/LYAR/PSIP1/HMGB2/ZW10/NASP/PA2G4/PAN2/CKS2/SRSF1/MCM7/LUC7L3/POLD1/SPC24/MCM3/MCM2/PRDX4/SPAG5/EXOSC8/RANBP1/RFC3/SHMT1/RAD51C/PPP1R8/ASF1A/PHF5A/EZH2/MAD2L1/RFC2/DCTPP1/TMPO/MTHFD2/POLE4/PNN/STAG1/TBRG4/PRIM2/POP7/KIF22/CDKN1B/DDX39A/CCNB2/NME1/RAN/SNRPB/PSMC3IP/TRA2B/NAA38/RPA3/DUT/CDK4/EED/AK2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,-0.4778142173532863,-1.652850985498195,4.489919086211397e-4,0.0032070850615795693,0.002295597728288534,2877,"tags=39%, list=19%, signal=32%",NOP56/PDIA5/NPM1/HSP90B1/CALR/ATF3/EXOSC5/SLC30A5/SPCS3/CCL2/ASNS/CEBPG/SRPRB/YIF1A/CNOT6/SLC7A5/BAG3/DKC1/HSPA5/CXXC1/XBP1/RRP9/STC2/MTHFD2/SEC11A/HERPUD1/PAIP1/DNAJB9/EXOSC4/IMP3/ATF4/SERP1/BANF1/NHP2/LSM4/SPCS1/LSM1
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,180,0.3982864558362428,1.5265158537198433,0.0010534762548812685,0.006584226593007928,0.004712920087626728,3625,"tags=36%, list=23%, signal=28%",RSU1/EGFR/PLCG1/RHOF/SLIT2/NF1/AMIGO2/TRO/PARVA/NLGN3/VCL/CTNNA1/TMEM8B/IKBKG/FBN1/EVL/PTEN/ADRA1B/LAMA3/ADAM15/SYMPK/SRC/ACTA1/PCDH1/NRAP/THY1/CNTN1/NF2/SDC3/ARPC2/SLC30A3/LAYN/TJP1/KCNH2/LAMC2/SORBS3/ITGA3/ACTN4/NLGN2/PTPRC/B4GALT1/PARD6G/CRAT/NEGR1/ARHGEF6/EXOC4/CTNND1/PPP2R2C/SIRPA/SYK/PBX2/NEXN/TGFBI/CADM3/PIK3CB/GNAI2/ADAM23/ALOX15B/MYH10/INSIG1/SHROOM2/ZYX/YWHAH/IRS1/CDH3
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,186,0.38043367318861254,1.464585762039405,0.0027177356473841625,0.015098531374356457,0.01080736982585515,3520,"tags=35%, list=23%, signal=27%",AGL/MEF2A/BHLHE40/GNAO1/LDB3/PRNP/ACSL1/SLC6A8/LAMA2/ABLIM1/MYOM1/COL4A2/TSC2/CDH13/DMD/ACTA1/LPIN1/MYH7/DES/PYGM/SCD/MYOM2/MYL1/ATP2A1/RB1/MYH1/MYH2/CKMT2/FDPS/CKM/ENO3/MYH4/TNNC1/MYH11/TNNC2/FKBP1B/PDE4DIP/MB/MYOZ1/MEF2D/REEP1/KCNH2/SORBS3/APOD/TPM3/SPARC/TNNT3/CRAT/FGF2/CASQ1/AK1/SSPN/CD36/TNNI2/MRAS/NOS1/VIPR1/MAPRE3/ACHE/CDKN1A/TGFB1/SORBS1/MYLK/FHL1/RYR1
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,103,0.4386006715639549,1.5594939771662024,0.0036208575239871604,0.0181042876199358,0.012958858506901417,3111,"tags=29%, list=20%, signal=23%",LONP2/ABCD3/PHYH/NR3C2/SLC23A2/IDH1/ACSL1/PAOX/AR/ABCA6/ABCA3/ABCD2/ABCA5/EFHC1/DHCR24/CAT/ABCG4/ABCA1/ACSL5/FADS1/PXMP2/NUDT12/BBOX1/ALDH9A1/ABCD1/HSD17B4/BMP6/CYP7B1/PEX19/AMACR
