stratum,compound,lincs_rank,best_z_sum,n_reversing_sigs,moa,clinical_phase,drug_targets,n_targets,signature_gene_overlap,n_gene_overlap,foodb_matched,foodb_name,is_known_nutrient,vegan_food_sources,n_vegan_foods
liver_immune,Simvastatin,33,-0.5064694931574496,2,HMGCR inhibitor,Launched,HMGCR; ITGB2,2,HMGCR,1,True,Simvastatin,False,,0
liver_immune,Morphine,34,-0.4864164960617613,2,,,,0,,0,True,morphine,False,Savoy cabbage; Kiwi; Garden onion; Leek; Garlic; Chives; Lemon verbena; Cashew nut; Pineapple; Dill; Custard apple; Wild celery; Peanut; Horseradish; Asparagus,286
liver_immune,Gatifloxacin,35,-0.4258775383978411,1,bacterial DNA gyrase inhibitor,Withdrawn,,0,,0,False,,False,,0
liver_immune,Acetaminophen,36,-0.4223513307540039,1,,,,0,,0,True,Acetaminophen,False,,0
liver_immune,Troglitazone,37,-0.4215355439540529,2,insulin sensitizer|PPAR receptor agonist,Withdrawn,CYP2C8; PPARG; TRPM3,3,,0,False,,False,,0
liver_immune,Nsc319726,38,-0.4163404813962292,2,,,,0,,0,False,,False,,0
liver_immune,Menadione,39,-0.4074563391189585,2,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,Launched,AOX1; BGLAP; F10; F2; F7; F9; GGCX; NQO1; NQO2; PROC; PROS1; PROZ; VKORC1; VKORC1L1,14,,0,True,Menadione,False,Savoy cabbage; Kiwi; Garden onion; Leek; Garlic; Chives; Lemon verbena; Cashew nut; Pineapple; Dill; Custard apple; Wild celery; Peanut; Horseradish; Asparagus,286
liver_immune,Temozolomide,40,-0.3994573862269943,2,DNA alkylating agent,Launched,MGMT,1,,0,False,,False,,0
liver_immune,Bortezomib,41,-0.3960399860685954,2,NFkB pathway inhibitor|proteasome inhibitor,Launched,PSMA1; PSMA2; PSMA3; PSMA4; PSMA5; PSMA6; PSMA7; PSMA8; PSMB1; PSMB10; PSMB11; PSMB2; PSMB3; PSMB4; PSMB5; PSMB6; PSMB7; PSMB8; PSMB9; PSMD1; PSMD2; RELA,22,,0,False,,False,,0
liver_immune,Tretinoin,42,-0.3841695335072188,2,retinoid receptor agonist|retinoid receptor ligand,Launched,ALDH1A1; ALDH1A2; GPRC5A; NR0B1; NR2C2; PPARD; RARA; RARB; RARG; RARRES1; RORB; RORC; RXRB; RXRG,14,,0,False,,False,,0
liver_immune,Ethinyl,43,-0.3608536347782757,2,,,,0,,0,False,,False,,0
liver_immune,Angiotensin,44,-0.3573499086572997,1,,,,0,,0,True,Angiotensin II,False,,0
liver_immune,Oprelvekin,45,-0.3434199095232767,1,,,,0,,0,False,,False,,0
liver_immune,Concanavalin,46,-0.3335623935391802,2,,,,0,,0,False,,False,,0
liver_immune,Rosiglitazone,47,-0.3247807178867396,4,insulin sensitizer|PPAR receptor agonist,Withdrawn,FFAR1; PPARG; TRPC5; TRPM3,4,,0,True,Rosiglitazone,False,,0
liver_immune,Orotic,48,-0.323346554503317,1,,,,0,,0,True,Orotic acid,False,Savoy cabbage; Kiwi; Garden onion; Leek; Garlic; Chives; Lemon verbena; Cashew nut; Pineapple; Dill; Custard apple; Wild celery; Peanut; Horseradish; Asparagus,286
liver_immune,Cobalt,49,-0.318334528403956,2,,,,0,,0,True,Cobalt,False,Garden onion; Cashew nut; Dill; Wild celery; Peanut; Horseradish; Asparagus; Oat; Brazil nut; Broccoli; Chinese cabbage; Pepper; Papaya; Caraway; Endive,87
liver_immune,Arachidonic,50,-0.3104221360690176,2,,,,0,,0,True,Arachidonic acid,False,Almond; Apple; Apricot; Globe artichoke; Asparagus; Avocado; Wheat bread; Banana; Barley; Common bean; Mung bean; Adzuki bean; Soy bean; Red beetroot; Bilberry,133
