ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,256,-0.6469834181695565,-2.6918595366611364,1e-10,6.538095238095238e-9,4.81203007518797e-9,3561,"tags=64%, list=22%, signal=51%",CCAR1/DNAJC8/AQR/ACIN1/AAAS/C9orf78/GPKOW/NUP98/TCERG1/WTAP/WBP11/NUP93/NUP188/NUP37/SRSF4/DHX38/PPIL2/SNRPD1/NUP43/DDX39A/THOC6/POLR2D/SEH1L/TRA2B/PRPF31/HNRNPR/CRNKL1/DDX23/CSTF3/SNRPB2/SNRPA1/SRRT/METTL14/HNRNPA2B1/THOC2/PAPOLG/PPIL4/GCFC2/SF3B4/CPSF3/POLR2K/SLU7/TPR/CPSF2/LUC7L3/POLR2A/RBM5/PDCD7/ZNF830/LSM2/NXT1/NCBP1/RBM10/UBC/HNRNPM/CPSF6/UBL5/SRSF6/POLR2H/RBMX2/SARNP/GLE1/HNRNPU/CACTIN/TUT1/RBM8A/CDC40/RAE1/NCBP2/DDX42/PCBP2/PRPF6/CSTF2/SF3A3/PABPN1/HNRNPH2/RBM17/SMNDC1/DDX39B/PRPF8/BUD13/PLRG1/WDR33/PPIL1/PTBP1/SRSF2/SNRNP70/SRSF1/HNRNPF/POLDIP3/THOC7/PNN/SNRNP200/PRPF3/SNRNP40/CSTF2T/RNPS1/CPSF7/DHX8/LSM8/HNRNPK/PRKRIP1/HSPA8/RNF113A/NUP54/SF3B2/PPP1R10/SNW1/NUP210/DHX9/U2SURP/DDX5/SRSF10/LSM3/IK/SNRNP48/NUP62/METTL3/NUP205/DHX15/HNRNPH1/PCF11/PHF5A/TXNL4A/SF3B6/SF3B3/SNRPB/PPWD1/NUP88/XAB2/NUP153/POLR2B/NKAP/NUP160/WBP4/SRSF3/NXF1/USP39/CPSF4/RBM22/NUP133/LSM6/CDC5L/CWC25/HNRNPC/SLBP/NUP85/SRSF7/HNRNPL/SRSF9/SNIP1/NUP155/NDC1/MFAP1/NUP107/PRPF18/NUP35/WDR70/NUDT21/NUP50/SDE2/SF3B1/CLP1/PRPF4
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,112,-0.6863275600141093,-2.5631540914654627,1e-10,6.538095238095238e-9,4.81203007518797e-9,2390,"tags=54%, list=15%, signal=46%",CCNB2/CDC20/CENPT/SKA1/DYNC1LI1/SPC25/PDS5A/STAG1/CLASP1/CENPF/KIF2C/CENPE/SPDL1/CDCA8/CENPO/DYNLL1/CENPI/CCNB1/ZWILCH/STAG2/CENPN/DSN1/PPP2R5D/CENPH/MAD2L1/NUF2/CENPU/SMC3/NUP160/BUB3/AURKB/KNTC1/CDCA5/NDC80/TUBB2B/BUB1B/CENPA/CENPL/INCENP/NUP133/NDE1/RANGAP1/PDS5B/RAD21/CDK1/CENPC/BIRC5/SKA2/BUB1/NUP85/ERCC6L/ZW10/TUBA1B/NSL1/CKAP5/NUP107/MIS12/XPO1/CLASP2/SMC1A
REACTOME_MITOTIC_PROMETAPHASE,REACTOME_MITOTIC_PROMETAPHASE,184,-0.6363096475962564,-2.5451619501249145,1e-10,6.538095238095238e-9,4.81203007518797e-9,2390,"tags=52%, list=15%, signal=45%",AHCTF1/CENPP/TUBA1A/HAUS2/CEP152/CCNB2/CDC20/HAUS5/CENPT/SKA1/PRKAR2B/CSNK2A1/DYNC1LI1/SPC25/PDS5A/ODF2/TUBGCP6/STAG1/CLASP1/CEP70/ACTR1A/CENPF/CEP192/CDK5RAP2/KIF2C/CENPE/SPDL1/CDCA8/CCP110/TUBGCP3/CENPO/DYNLL1/ALMS1/CENPI/CCNB1/ZWILCH/CEP41/STAG2/MZT1/PLK4/CENPN/DSN1/PPP2R5D/CENPH/MAD2L1/NUF2/CENPU/NCAPG/NCAPD2/TUBB/SMC3/NUP160/BUB3/AURKB/KNTC1/CDCA5/HAUS1/HAUS8/HSP90AA1/NDC80/TUBB2B/BUB1B/CENPA/CENPL/INCENP/NUP133/NDE1/RANGAP1/PDS5B/HAUS4/RAD21/CEP72/CDK1/SMC2/CENPC/BIRC5/SKA2/BUB1/NUP85/ERCC6L/ZW10/CEP57/NCAPH/TUBA1B/NSL1/TUBGCP4/CKAP5/NUP107/MIS12/NEDD1/CEP76/SMC4/CSNK2A2/XPO1/CLASP2/SMC1A
REACTOME_CELL_CYCLE_MITOTIC,REACTOME_CELL_CYCLE_MITOTIC,454,-0.5791272868517464,-2.5205199066006316,1e-10,6.538095238095238e-9,4.81203007518797e-9,2522,"tags=48%, list=15%, signal=42%",TPR/ANKLE2/CDK6/GINS1/LPIN2/CKS1B/CEP152/ANAPC5/CCNB2/CDK7/CDC20/POLA2/ENSA/HAUS5/CENPT/UBC/SKA1/AURKA/PRKAR2B/ORC5/MCPH1/AKT1/RAE1/CDC45/CSNK2A1/DYNC1LI1/ORC4/SPC25/PDS5A/VPS4A/ODF2/TUBGCP6/DHFR/CDC27/CCND3/STAG1/LIN9/CLASP1/POLD1/RCC1/E2F4/CCND1/CEP70/RB1/ACTR1A/CENPF/GMNN/CEP192/CDK5RAP2/RFC2/KIF2C/CENPE/CDC26/PPME1/CDK4/POLD3/CDC25C/CDC7/NUP54/MIS18BP1/BORA/RPA3/SPDL1/CDCA8/CCP110/HSP90AB1/FBXO5/TUBGCP3/RFC5/HMMR/FOXM1/CENPO/CDKN2D/NUP210/RFC4/MCM7/DYNLL1/NCAPH2/MYBL2/ALMS1/CENPI/RFC1/CCNB1/NUP62/ZWILCH/CNEP1R1/TMPO/NUP205/KIF20A/SUMO1/CEP41/ESCO2/RPA2/STAG2/MZT1/GTSE1/PLK4/CENPN/DSN1/DNA2/UBE2I/RBL1/CDC6/NUP88/UBE2S/GINS3/PPP2R5D/CENPH/ESPL1/MAD2L1/NUF2/CCNE2/E2F1/CENPU/CCNA2/NCAPG/NUP153/JAK2/NCAPD2/PRIM1/HDAC1/TUBB/SMC3/SKP2/NUP160/BUB3/AURKB/KNTC1/TYMS/ORC6/SPAST/CDCA5/CDKN1B/TPX2/ANAPC1/HAUS1/PKMYT1/TNPO1/HAUS8/HSP90AA1/MCM2/CDC23/POLE/NDC80/MCM3/MCM5/MAU2/TUBB2B/BUB1B/CENPA/POLE2/CENPL/FEN1/INCENP/CDT1/NUP133/TICRR/NDE1/PCNA/RANGAP1/CDC25A/NCAPD3/RRM2/PDS5B/HAUS4/RAD21/CEP72/CDK1/TOP2A/SMC2/CENPC/BIRC5/ORC1/SKA2/POLA1/E2F3/BUB1/NUP85/ERCC6L/ZW10/CEP57/NCAPH/TUBA1B/MCM6/LEMD3/NSL1/NCAPG2/NUP155/DYRK1A/TUBGCP4/NDC1/LIG1/CKAP5/ORC2/NUP107/MIS12/NEDD1/CEP76/DBF4/MAPK1/LIN52/NUP35/MCM4/RBBP4/LBR/SMC4/RPA1/MCM10/CSNK2A2/XPO1/TK1/KIF23/WEE1/CCNE1/NUP50/CDK2/CLASP2/SMC1A/IST1/PRKCB
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,69,-0.7270909383629287,-2.5008642177962614,1e-10,6.538095238095238e-9,4.81203007518797e-9,3739,"tags=80%, list=23%, signal=62%",MAGOHB/THOC1/MAGOH/AAAS/NUP98/NUP93/NUP188/NUP37/SRSF4/DHX38/NUP43/DDX39A/THOC6/SEH1L/THOC2/CPSF3/SLU7/TPR/CPSF2/NXT1/NCBP1/SRSF6/SARNP/GLE1/RBM8A/CDC40/RAE1/NCBP2/DDX39B/WDR33/SRSF2/SRSF1/POLDIP3/THOC7/RNPS1/NUP54/NUP210/NUP62/NUP205/NUP88/NUP153/NUP160/SRSF3/NXF1/CPSF4/NUP133/SLBP/NUP85/SRSF7/SRSF9/NUP155/NDC1/NUP107/NUP35/NUP50
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,102,-0.6764014329404174,-2.464325345509477,1e-10,6.538095238095238e-9,4.81203007518797e-9,3611,"tags=67%, list=22%, signal=52%",PAFAH1B1/PMF1/UBE2C/SPC24/PPP2CA/NUP98/KIF2A/NUDC/NUP37/CENPK/NUP43/SEH1L/ANAPC16/AHCTF1/CENPP/ANAPC5/CDC20/CENPT/SKA1/DYNC1LI1/SPC25/CDC27/CLASP1/CENPF/KIF2C/CENPE/CDC26/SPDL1/CDCA8/CENPO/DYNLL1/CENPI/ZWILCH/CENPN/DSN1/UBE2S/PPP2R5D/CENPH/MAD2L1/NUF2/CENPU/NUP160/BUB3/AURKB/KNTC1/ANAPC1/CDC23/NDC80/BUB1B/CENPA/CENPL/INCENP/NUP133/NDE1/RANGAP1/CENPC/BIRC5/SKA2/BUB1/NUP85/ERCC6L/ZW10/NSL1/CKAP5/NUP107/MIS12/XPO1/CLASP2
REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING,186,-0.6120383468894788,-2.452276664568341,1e-10,6.538095238095238e-9,4.81203007518797e-9,3561,"tags=60%, list=22%, signal=47%",CCAR1/DNAJC8/AQR/ACIN1/C9orf78/GPKOW/TCERG1/WBP11/SRSF4/DHX38/PPIL2/SNRPD1/POLR2D/TRA2B/PRPF31/HNRNPR/CRNKL1/DDX23/SNRPB2/SNRPA1/SRRT/HNRNPA2B1/PPIL4/GCFC2/SF3B4/POLR2K/SLU7/LUC7L3/POLR2A/RBM5/PDCD7/ZNF830/LSM2/NCBP1/RBM10/HNRNPM/UBL5/SRSF6/POLR2H/RBMX2/HNRNPU/CACTIN/RBM8A/CDC40/NCBP2/DDX42/PCBP2/PRPF6/SF3A3/HNRNPH2/RBM17/SMNDC1/DDX39B/PRPF8/BUD13/PLRG1/PPIL1/PTBP1/SRSF2/SNRNP70/SRSF1/HNRNPF/PNN/SNRNP200/PRPF3/SNRNP40/RNPS1/DHX8/LSM8/HNRNPK/PRKRIP1/HSPA8/RNF113A/SF3B2/SNW1/DHX9/U2SURP/DDX5/SRSF10/LSM3/IK/SNRNP48/DHX15/HNRNPH1/PHF5A/TXNL4A/SF3B6/SF3B3/SNRPB/PPWD1/XAB2/POLR2B/NKAP/WBP4/SRSF3/USP39/RBM22/LSM6/CDC5L/CWC25/HNRNPC/SRSF7/HNRNPL/SRSF9/SNIP1/MFAP1/PRPF18/WDR70/SDE2/SF3B1/PRPF4
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,55,-0.7373953639741307,-2.4424215364344017,1e-10,6.538095238095238e-9,4.81203007518797e-9,2446,"tags=64%, list=15%, signal=54%",RAD9A/MDC1/UBC/PPP4R2/HUS1/TIPIN/RAD17/RFC2/CLSPN/ATM/RNF8/RPA3/RFC5/EXO1/RFC4/RPA2/BARD1/DNA2/UBE2I/SUMO2/BRCA1/CCNA2/ATRIP/RAD1/TOPBP1/UBE2V2/BRIP1/RNF4/RNF168/TIMELESS/RMI2/WRN/RPA1/CDK2/RMI1
REACTOME_HOMOLOGY_DIRECTED_REPAIR,REACTOME_HOMOLOGY_DIRECTED_REPAIR,95,-0.6730711542529053,-2.4165767315668196,1e-10,6.538095238095238e-9,4.81203007518797e-9,1867,"tags=52%, list=11%, signal=46%",PPP4R2/POLK/POLD1/HUS1/TIPIN/RAD17/GEN1/RAD51AP1/RFC2/SLX4/CLSPN/POLD3/ATM/RNF8/RPA3/RFC5/EXO1/RFC4/RFC1/RAD51/RPA2/BARD1/DNA2/UBE2I/SUMO2/BRCA1/RAD51C/CCNA2/ATRIP/POLQ/RAD1/TOPBP1/UBE2V2/POLE/BRIP1/POLE2/FEN1/EME1/FIGNL1/PCNA/RNF4/RNF168/TIMELESS/POLH/RMI2/WRN/RPA1/CDK2/RMI1
REACTOME_MRNA_3_END_PROCESSING,REACTOME_MRNA_3_END_PROCESSING,128,-0.6357164514426882,-2.413600464481396,1e-10,6.538095238095238e-9,4.81203007518797e-9,3228,"tags=62%, list=20%, signal=50%",SRSF4/DHX38/SNRPD1/DDX39A/THOC6/POLR2D/TRA2B/HNRNPR/CSTF3/SNRPB2/SNRPA1/SRRT/HNRNPA2B1/THOC2/PAPOLG/SF3B4/CPSF3/POLR2K/SLU7/CPSF2/POLR2A/RBM5/NCBP1/RBM10/UBC/HNRNPM/CPSF6/SRSF6/POLR2H/SARNP/HNRNPU/TUT1/RBM8A/CDC40/NCBP2/DDX42/PCBP2/CSTF2/SF3A3/PABPN1/HNRNPH2/RBM17/SMNDC1/DDX39B/WDR33/PTBP1/SRSF2/SNRNP70/SRSF1/HNRNPF/POLDIP3/THOC7/CSTF2T/RNPS1/CPSF7/HNRNPK/SF3B2/PPP1R10/DHX9/U2SURP/DDX5/SRSF10/DHX15/HNRNPH1/PCF11/PHF5A/SF3B6/SF3B3/SNRPB/POLR2B/SRSF3/CPSF4/HNRNPC/SRSF7/HNRNPL/SRSF9/NUDT21/SF3B1/CLP1
