rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
65,Mepenzolate,4,-0.096837902973036,-0.2829000733628684,0.5213146463772894,local_gmt_fallback,mepenzolate,Launched,acetylcholine receptor antagonist,,gastroenterology,peptic ulcer disease (PUD)
66,Isotretinoin,2,-0.1405064788502109,-0.280739086392057,0.5239150975595345,local_gmt_fallback,isotretinoin,Launched,retinoid receptor agonist,RARA|RARB|RARG,dermatology,acne vulgaris (AV)
67,Pertuzumab,2,-0.1439690591525746,-0.2796158331542351,0.5252718981662446,local_gmt_fallback,,,,,,
68,Aminolevulinic,2,-0.1655787979022683,-0.2719094474879107,0.5346758302869857,local_gmt_fallback,,,,,,
69,Tamoxifen,1,-0.2691886096268724,-0.2691886096268724,0.5380360682392483,local_gmt_fallback,tamoxifen,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,oncology,breast cancer
70,Captopril,1,-0.26787449182571,-0.26787449182571,0.53966655997532,local_gmt_fallback,captopril,Launched,angiotensin converting enzyme inhibitor,ACE|LTA4H|MMP2|MMP9,cardiology|endocrinology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy
71,Nvp,3,-0.0454411320385119,-0.2588333236582114,0.5510191295113105,local_gmt_fallback,,,,,,
72,Mercury,2,-0.1722932518530907,-0.2516100695770119,0.5602604044130124,local_gmt_fallback,,,,,,
73,Formaldehyde,1,-0.2510792299911859,-0.2510792299911859,0.5609456312559723,local_gmt_fallback,,,,,,
74,Propofol,2,-0.1440302795968966,-0.2426771132328483,0.5719036743092181,local_gmt_fallback,propofol,Launched,benzodiazepine receptor agonist,FAAH|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SCN2A|SCN4A,neurology/psychiatry,anesthetic
76,Aplidin,2,-0.1702500480702187,-0.2322388099401341,0.5858159473366282,local_gmt_fallback,,,,,,
77,Chromium(iii),1,-0.2293757460749254,-0.2293757460749254,0.5896906665199619,local_gmt_fallback,,,,,,
78,Neocarzinostatin,2,-0.1230595215953639,-0.2292288155865328,0.5898902043900365,local_gmt_fallback,,,,,,
79,Mln4924,2,-0.1331712730189308,-0.2267304110772353,0.5932934980862523,local_gmt_fallback,,,,,,
81,Lysophosphatidic,2,-0.1351363425644222,-0.2204288103382148,0.601964929056733,local_gmt_fallback,,,,,,
82,Heregulin,2,-0.1191137214134806,-0.2072545980269121,0.6205051665938079,local_gmt_fallback,,,,,,
83,Nicotine,2,-0.1281226535095353,-0.2068389254931262,0.6210993496623692,local_gmt_fallback,nicotine,Launched,acetylcholine receptor agonist,CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1,neurology/psychiatry,smoking cessation
84,Mycophenolic,2,-0.1003174591711113,-0.1997915700401427,0.6312602310750235,local_gmt_fallback,,,,,,
85,Telapristone,2,-0.1087902828026749,-0.1958868564107889,0.6369614422352441,local_gmt_fallback,,,,,,
86,Sirolimus,1,-0.1950105470346451,-0.1950105470346451,0.6382479858661363,local_gmt_fallback,sirolimus,Launched,mTOR inhibitor,FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis
87,Lipopolysaccharide,2,-0.0985163943726706,-0.1939818495086991,0.6397615725117691,local_gmt_fallback,,,,,,
88,Fluorouracil,2,-0.1618077363801886,-0.1864338710384166,0.6509777260849181,local_gmt_fallback,,,,,,
89,Cigarette,2,-0.1062175817756385,-0.17582412543154,0.6670768580748608,local_gmt_fallback,,,,,,
90,Insulin,4,-0.0898004718351949,-0.1727411689028768,0.6718291307810009,local_gmt_fallback,,,,,,
91,Laccaic,2,-0.128559955989138,-0.169163608991973,0.6773862721244395,local_gmt_fallback,,,,,,
92,Rituximab,2,-0.099974055221266,-0.1672018702448747,0.6804529946869343,local_gmt_fallback,,,,,,
93,Valproic,1,-0.1668481665143809,-0.1668481665143809,0.6810074037518608,local_gmt_fallback,,,,,,
94,"Puromycin,",8,-0.0724813491369902,-0.1652692681254914,0.68348774475142,local_gmt_fallback,,,,,,
96,Methylprednisolone,1,-0.1569933717417992,-0.1569933717417992,0.6966371461952953,local_gmt_fallback,methylprednisolone,Launched,glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|dermatology|infectious disease|allergy|hematology|neurology/psychiatry|gastroenterology,hypercalcemia|thyroiditis|ankylosing spondylitis|bursitis|osteoarthritis|psoriatic arthritis|seborrheic dermatitis|mycosis|allergic rhinitis|psoriasis|anemia|multiple sclerosis|ulcerative colitis|enteritis
97,Aldosterone,2,-0.0878312918755423,-0.1563921295869561,0.6976022463724778,local_gmt_fallback,,,,,,
98,Tibolone,2,-0.0840023421867646,-0.1563614029231298,0.6976516040062741,local_gmt_fallback,tibolone,Launched,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist,ESR1,obstetrics/gynecology,endometriosis
99,Citalopram,1,-0.1422971372963798,-0.1422971372963798,0.7206142777882951,local_gmt_fallback,citalopram,Launched,selective serotonin reuptake inhibitor (SSRI),ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
100,Azacitidine,2,-0.0751685311638389,-0.1406019837162344,0.7234325014382263,local_gmt_fallback,azacitidine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
101,Coenzyme,2,-0.0718981344828304,-0.1396791201272601,0.7249714096956764,local_gmt_fallback,,,,,,
102,Motexafin,3,-0.038912972589239,-0.1383413139088557,0.727208063941605,local_gmt_fallback,,,,,,
103,Vancomycin,2,-0.0866336216064343,-0.1337792325325518,0.734887342827582,local_gmt_fallback,vancomycin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,endocarditis
104,Vitamin,5,-0.0282657709268064,-0.130447682426826,0.7405464725003201,local_gmt_fallback,,,,,,
105,Cocaine,2,-0.0664358309546802,-0.1293595999068598,0.7424041657138098,local_gmt_fallback,,,,,,
106,Resveratrol,1,-0.1175660213987462,-0.1175660213987462,0.7628409153554915,local_gmt_fallback,resveratrol,Launched,cytochrome P450 inhibitor|SIRT activator,CSNK2A1|NQO2|PTGS1|PTGS2,,
107,Cyclosporine,2,-0.0820817463496565,-0.1167573603670859,0.7642626566446964,local_gmt_fallback,,,,,,
108,Calcitriol,2,-0.0599086203824246,-0.1143837589301989,0.7684511079024555,local_gmt_fallback,calcitriol,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis
109,Cetuximab,1,-0.1138770220378245,-0.1138770220378245,0.769348263655868,local_gmt_fallback,,,,,,
110,Phorbol,4,-0.0458879190411959,-0.1126084078914571,0.7715988862686576,local_gmt_fallback,,,,,,
111,Epz004777,1,-0.1100113080182099,-0.1100113080182099,0.7762269052223303,local_gmt_fallback,EPZ004777,Preclinical,histone lysine methyltransferase inhibitor,DOT1L,,
112,Phosgene,2,-0.0823791260004373,-0.1080217742788864,0.7797910130597747,local_gmt_fallback,,,,,,
113,Abiraterone,2,-0.0517019002587244,-0.1032096749486235,0.7884793522857317,local_gmt_fallback,abiraterone,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer
114,Adenosine,2,-0.0773773164206214,-0.0993260283326659,0.7955618915272882,local_gmt_fallback,adenosine,Launched,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4,cardiology,Wolff-Parkinson-White Syndrome (WPW)
115,Triiodothyronine,2,-0.0850523515749645,-0.0983793245363062,0.7972980014405456,local_gmt_fallback,,,,,,
116,Ascorbic,1,-0.0956401354354579,-0.0956401354354579,0.8023426241837225,local_gmt_fallback,,,,,,
117,Apratoxin,2,-0.0475562013636863,-0.0947484214089021,0.8039917245367704,local_gmt_fallback,,,,,,
118,Formoterol,2,-0.0481565870521666,-0.0936257613614126,0.8060727480427219,local_gmt_fallback,formoterol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm
119,Dmnq,2,-0.0779378031700312,-0.0931712942286543,0.8069167037628414,local_gmt_fallback,,,,,,
120,Pimecrolimus,2,-0.0470028237461038,-0.0929764341291696,0.8072788339658482,local_gmt_fallback,pimecrolimus,Launched,calcineurin inhibitor,,dermatology,eczema
121,Bisphenol,2,-0.0470436898789019,-0.091935199877638,0.8092166316009546,local_gmt_fallback,,,,,,
122,Torcetrapib,2,-0.0584247836040255,-0.0914502398806503,0.8101207574953174,local_gmt_fallback,torcetrapib,Phase 3,cholesteryl ester transfer protein inhibitor,CETP,,
123,Perfluorooctanoic,2,-0.0488541633880906,-0.0888538956206047,0.8149784111240624,local_gmt_fallback,,,,,,
124,Methoxychlor,2,-0.0740795677640298,-0.087344782992553,0.8178152731972552,local_gmt_fallback,,,,,,
125,Carbidopa,2,-0.0435009980861988,-0.0855189545350103,0.8212607085970489,local_gmt_fallback,carbidopa,Launched,aromatic L-amino acid decarboxylase inhibitor,DDC,neurology/psychiatry,Parkinson's Disease
126,Chromium,2,-0.0787456876030212,-0.0843320403524277,0.82350826006526,local_gmt_fallback,,,,,,
127,Bexarotene,2,-0.0415458323927133,-0.0820044507740008,0.8279336787678375,local_gmt_fallback,bexarotene,Launched,retinoid receptor agonist,RXRA|RXRB|RXRG,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
128,Cediranib,1,-0.0808633960853747,-0.0808633960853747,0.8301118316042859,local_gmt_fallback,cediranib,Phase 3,KIT inhibitor|VEGFR inhibitor,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,,
129,Deferasirox,2,-0.0400465681702246,-0.0798450347133502,0.8320606146395793,local_gmt_fallback,deferasirox,Launched,chelating agent,CYP3A4,hematology,transfusional hemosiderosis|thalassemia|iron overload
130,Hypochlorous,2,-0.0530382759049707,-0.0788218439329198,0.8340232470574659,local_gmt_fallback,,,,,,
131,Calcitonin,2,-0.0396246407595708,-0.0788218439329198,0.8340232470574659,local_gmt_fallback,calcitonin,Launched,calcitonin agonist,,orthopedics,osteoporosis
132,Diethylstilbestrol,2,-0.0435399355056847,-0.0786258359587188,0.8343997475880582,local_gmt_fallback,diethylstilbestrol,Withdrawn,estrogen receptor agonist,ESR1|ESR2|ESRRB|ESRRG,,
133,Trichloroethylene,1,-0.0772798709408668,-0.0772798709408668,0.8369897298015855,local_gmt_fallback,trichloroethylene,Preclinical,,,,
134,Anastrozole,2,-0.0511182689680646,-0.0767337801788753,0.8380428397648344,local_gmt_fallback,anastrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
135,Laminin,2,-0.0388523817043353,-0.0764464598626628,0.8385974551493398,local_gmt_fallback,,,,,,
136,Irinotecan,2,-0.042654592843245,-0.0758273216652321,0.8397938276808115,local_gmt_fallback,irinotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer
137,Dapt,1,-0.07537814348197,-0.07537814348197,0.8406628513989628,local_gmt_fallback,DAPT,Preclinical,gamma secretase inhibitor,,,
138,Folic,2,-0.0422499031899971,-0.074853662857688,0.8416787006406611,local_gmt_fallback,,,,,,
139,Nicotinamide,2,-0.0422499031899971,-0.074853662857688,0.8416787006406611,local_gmt_fallback,nicotinamide,Launched,protein synthesis stimulant,BST1|LDHA|PARP1|SIRT5,dermatology,acne vulgaris (AV)
140,Pyrazinamide,1,-0.0748004172929821,-0.0748004172929821,0.8417818988320978,local_gmt_fallback,pyrazinamide,Launched,fatty acid synthase inhibitor,FASN,infectious disease,tuberculosis
141,Fluticasone,2,-0.0369763715240186,-0.0726378831001418,0.8459839367806992,local_gmt_fallback,,,,,,
142,Trastuzumab,2,-0.0406291341221481,-0.0722565854080413,0.8467270117718759,local_gmt_fallback,,,,,,
143,Chlorambucil,2,-0.040992333713959,-0.0714799768461433,0.8482424897840866,local_gmt_fallback,chlorambucil,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|Hodgkin's lymphoma
144,Mehp,2,-0.0508969423093744,-0.0710777045722311,0.8490285520771725,local_gmt_fallback,,,,,,
146,Soman,2,-0.0396678129469818,-0.0690284790207481,0.853044173497308,local_gmt_fallback,,,,,,
147,Methylphenidate,2,-0.0405082982699751,-0.0682543247957414,0.8545661285704815,local_gmt_fallback,,,,,,
148,Pd173074,1,-0.0674848687910642,-0.0674848687910642,0.85608153784845,local_gmt_fallback,,,,,,
149,Sulforaphane,2,-0.0343629135457253,-0.067321823780978,0.8564029926054125,local_gmt_fallback,sulforaphane,Phase 2,anticancer agent|aryl hydrocarbon receptor antagonist,NFE2L2,,
150,Y15,2,-0.0385805600863673,-0.0670071126937162,0.8570238091372737,local_gmt_fallback,,,,,,
151,Foretinib,2,-0.0342941761537776,-0.0657543997274619,0.8594994443746921,local_gmt_fallback,foretinib,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,,
152,Sapphyrin,3,-0.0041600428412745,-0.0657533827856559,0.8595014569766867,local_gmt_fallback,,,,,,
153,Mek,2,-0.0560108465623206,-0.0652449470606781,0.8605082787687202,local_gmt_fallback,,,,,,
155,Lubiprostone,1,-0.0642210318850981,-0.0642210318850981,0.8625394511358501,local_gmt_fallback,lubiprostone,Launched,chloride channel activator,CLCN2,gastroenterology,constipation|irritable bowel syndrome
156,Cytarabine,2,-0.0379575768970147,-0.0632381909201719,0.8644936529836805,local_gmt_fallback,cytarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL)
157,Thapsigargin,2,-0.0374417888723105,-0.0624201462948277,0.8661235628171262,local_gmt_fallback,,,,,,
158,Mesalazine,2,-0.0329158634531656,-0.0621445623255803,0.8666733407356302,local_gmt_fallback,mesalazine,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,ALOX5|CHUK|IKBKB|MPO|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis|inflammatory bowel disease
159,Progesterone,2,-0.0301835229426669,-0.0602991660881655,0.870363828603895,local_gmt_fallback,progesterone,Launched,progesterone receptor agonist,CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5,obstetrics/gynecology|endocrinology,infertility|amenorrhea
160,Argyrin,2,-0.0366189844680417,-0.0592867042384913,0.8723952570029813,local_gmt_fallback,,,,,,
161,Colistin,1,-0.0583848738140881,-0.0583848738140881,0.8742087039739004,local_gmt_fallback,colistin,Launched,bacterial permeability inducer,,infectious disease,gram-negative bacterial infections|gram-negative bacterial infections
162,Gefitinib,2,-0.0399305295593211,-0.0576026151537934,0.8757847626525794,local_gmt_fallback,gefitinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
163,Atorvastatin,1,-0.0562307514887548,-0.0562307514887548,0.8785555943012354,local_gmt_fallback,atorvastatin,Launched,HMGCR inhibitor,AHR|DPP4|HMGCR,neurology/psychiatry|cardiology,stroke|heart attack
165,Letrozole,2,-0.0335373227730315,-0.0535696510169765,0.8839553913702684,local_gmt_fallback,letrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
166,Creatine,2,-0.0337179053584654,-0.0499696651886345,0.8913131928352107,local_gmt_fallback,creatine,Launched,,CKB|CKM|CKMT1A|CKMT2|GAMT|SLC6A8,,
