rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
187,Celecoxib,2,-0.017483403653014,-0.0247640498398615,0.944573919497518,local_gmt_fallback,celecoxib,Launched,cyclooxygenase inhibitor,CA12|PDPK1|PTGS2,rheumatology|endocrinology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)
188,Testosterone,1,-0.0234426546322646,-0.0234426546322646,0.947452280297031,local_gmt_fallback,,,,,,
189,Hydrocortisone,1,-0.0223735610670691,-0.0223735610670691,0.9497874766626726,local_gmt_fallback,hydrocortisone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR3C1|NR3C2,dermatology|neurology/psychiatry,eczema|psoriasis|seborrheic dermatitis|itching
191,Streptozocin,1,-0.020760487200056,-0.020760487200056,0.9533217747002544,local_gmt_fallback,,,,,,
192,Fenretinide,2,-0.0097536318379448,-0.0194658153251353,0.9561679550234152,local_gmt_fallback,fenretinide,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,,
193,Phenytoin,2,-0.0136036861489706,-0.0194658153251353,0.9561679550234152,local_gmt_fallback,phenytoin,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
194,Gamma,2,-0.0110801673997163,-0.0192704541641284,0.9565981702578232,local_gmt_fallback,,,,,,
195,Hydrogen,2,-0.0182192887293591,-0.0191995125468492,0.9567544424810812,local_gmt_fallback,,,,,,
196,Sangivamycin,2,-0.0177883725356107,-0.019086512909348,0.9570034140336134,local_gmt_fallback,sangivamycin,Phase 1,DNA inhibitor,,,
197,Decitabine,2,-0.0092532002283147,-0.0181190432181504,0.959137688992018,local_gmt_fallback,decitabine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
198,Palmitic,2,-0.00998828952645,-0.0177611044332376,0.9599285212696632,local_gmt_fallback,,,,,,
199,Curcumin,1,-0.0176568970805178,-0.0176568970805178,0.9601588801994622,local_gmt_fallback,curcumin,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH,,
200,Permethrin,2,-0.0109860137920475,-0.0174827334951467,0.9605440065487996,local_gmt_fallback,permethrin,Launched,,,infectious disease,lice
201,R1881,2,-0.0159716704690134,-0.016890227604195,0.961855366494734,local_gmt_fallback,,,,,,
202,Bpde,2,-0.0082721489361408,-0.0159162380598435,0.9640149342865066,local_gmt_fallback,,,,,,
203,Cyclophosphamide,2,-0.0082779517829811,-0.0159162380598435,0.9640149342865066,local_gmt_fallback,cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
205,Corticosterone,2,-0.0102817269885203,-0.0150430624707967,0.9659550949605072,local_gmt_fallback,corticosterone,Preclinical,mineralocorticoid receptor agonist,HSD11B1|NCOA1|NR3C2,,
206,Capsaicin,2,-0.0070415400382536,-0.0135049945290864,0.969382121023588,local_gmt_fallback,capsaicin,Launched,TRPV agonist,CFTR|TRPV1,neurology/psychiatry|rheumatology,muscle pain|rheumatoid arthritis
207,Deltamethrin,2,-0.0074581859497251,-0.0134894990960371,0.9694167087615304,local_gmt_fallback,,,,,,
208,Acrylamide,2,-0.0121502185917492,-0.0134830030765543,0.9694312090538124,local_gmt_fallback,,,,,,
209,Cyfluthrin,1,-0.0130589141650363,-0.0130589141650363,0.9703783217634891,local_gmt_fallback,,,,,,
210,Medroxyprogesterone,2,-0.0068002331149964,-0.0126948765492436,0.9711920606445628,local_gmt_fallback,medroxyprogesterone,Launched,progesterone receptor agonist,PGR,endocrinology,contraceptive
211,Doxorubicin,2,-0.0066086871415661,-0.0124954452792934,0.97163814170694,local_gmt_fallback,doxorubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma
212,Harman,2,-0.0089809613986361,-0.0119254596356379,0.9729141960928124,local_gmt_fallback,,,,,,
213,Dasatinib,2,-0.0085595546438817,-0.0117411618074687,0.9733271509689624,local_gmt_fallback,dasatinib,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
214,Olanzapine,1,-0.0117045960234228,-0.0117045960234228,0.9734091045056016,local_gmt_fallback,olanzapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder
215,Caerulein,1,-0.0112528680561343,-0.0112528680561343,0.974422115025831,local_gmt_fallback,,,,,,
216,Monuron,2,-0.0083790536269242,-0.0103634663585822,0.9764197013284568,local_gmt_fallback,,,,,,
217,Azathioprine,2,-0.0086787708942474,-0.0100444803641902,0.977137137617454,local_gmt_fallback,azathioprine,Launched,dehydrogenase inhibitor,HPRT1|IMPDH1|PPAT,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
218,Luteolin,2,-0.0069907269679707,-0.0098797538093255,0.9775078330114229,local_gmt_fallback,luteolin,Phase 2,glucosidase inhibitor,TOP1,,
219,Trichostatin,1,-0.0095909297029134,-0.0095909297029134,0.9781581330702682,local_gmt_fallback,,,,,,
220,Androstanolone,2,-0.0070838256258473,-0.009525345096543,0.978305859930684,local_gmt_fallback,,,,,,
221,Estradiol,2,-0.0083955259654851,-0.0088521113192327,0.9798235842780196,local_gmt_fallback,estradiol,Launched,estrogen receptor agonist,ESR1|ESR2|GPER1|KCNMA1|NR1I2,endocrinology,contraceptive
222,Methamphetamine,1,-0.0088512138745722,-0.0088512138745722,0.9798256090294016,local_gmt_fallback,,,,,,
223,Chlorpyrifos,1,-0.0081987524676069,-0.0081987524676069,0.9812987542960108,local_gmt_fallback,chlorpyrifos,Launched,acetylcholinesterase inhibitor,ACHE,,
224,Genistein,1,-0.0073775645863202,-0.0073775645863202,0.9831560032674208,local_gmt_fallback,genistein,Phase 2/Phase 3,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,,
225,Metoprolol,1,-0.0069462310220864,-0.0069462310220864,0.9841329414027054,local_gmt_fallback,metoprolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|angina pectoris|myocardial infarction
226,Cycloheximide,2,-0.0042674924842464,-0.006781504586805,0.9845062905156392,local_gmt_fallback,cycloheximide,Preclinical,protein synthesis inhibitor,RPL3,,
227,Fluoxetine,2,-0.0040425502755358,-0.0065185853263058,0.9851024851353376,local_gmt_fallback,fluoxetine,Launched,selective serotonin reuptake inhibitor (SSRI),ANO1|HTR2B|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder
228,Heroin,2,-0.0030168769091967,-0.0033084959776185,0.992410850609803,local_gmt_fallback,,,,,,
229,"2,2',4,4',5,5'",2,-0.003068733944271,-0.0031324698509325,0.9928131712757956,local_gmt_fallback,,,,,,
230,Plx4032,1,-0.0021965766228118,-0.0021965766228118,0.9949549645692792,local_gmt_fallback,,,,,,
231,Natural,2,-0.0013018933014117,-0.001985841451937,0.9954378693530288,local_gmt_fallback,,,,,,
232,Fasudil,1,-0.001510142533286,-0.001510142533286,0.9965288068834608,local_gmt_fallback,fasudil,Launched,rho associated kinase inhibitor,PKIA|PRKACA|ROCK1|ROCK2,neurology/psychiatry,cerebral vasospasm
233,Actinomycin,2,-0.0011823326332412,-0.0012574028269503,0.9971089102671647,local_gmt_fallback,,,,,,
234,Plx4720,1,-0.0004838832713464,-0.0004838832713464,0.9988864380634064,local_gmt_fallback,PLX4720,Preclinical,RAF inhibitor,BRAF|KDR,,
235,Cholestyramine,1,-9.808601150208868e-05,-9.808601150208868e-05,0.9997741741145888,local_gmt_fallback,,,,,,
