signature,compound,overlap,p,direction,z-sum
Fluorouracil-up,Fluorouracil,14,0.007515368377546745,up,-2.1240497269313905
Fluorouracil-dn,Fluorouracil,9,0.045132243985743684,dn,-1.345513072719648
Resveratrol-up,Resveratrol,10,0.23783060605309952,up,-0.6237322574352783
Resveratrol-dn,Resveratrol,4,0.5654540991580466,dn,-0.24760264324329312
Citalopram-up,Citalopram,18,0.00037841434327110906,up,-3.4220324106279643
Ethanol-up,Ethanol,2,0.9939504094461398,up,-0.002635283048512453
Ethanol-dn,Ethanol,5,0.36315958613898414,dn,-0.4399024875006141
Sodium arsenite-up,Sodium,13,0.015351908036047541,up,-1.8138376398591347
Vitamin c-up,Vitamin,6,0.4435140743721905,up,-0.3530925938137825
Vitamin c-dn,Vitamin,3,0.9043367436881895,dn,-0.043669823181985236
Perfluorooctanoic acid-up,Perfluorooctanoic,12,0.0025038856249052148,up,-2.601385513164088
Perfluorooctanoic acid-dn,Perfluorooctanoic,2,0.9863656478182273,dn,-0.005962061334033758
Formaldehyde-up,Formaldehyde,5,0.6902795509588053,up,-0.16097499208655294
Tretinoin-dn,Tretinoin,5,0.3664422675967709,dn,-0.43599443804642996
Vitamin e-up,Vitamin,6,0.47360403525472206,up,-0.32458460594435756
Vitamin e-dn,Vitamin,2,0.9778819626357881,dn,-0.009713564506586224
Gefitinib-up,Gefitinib,5,0.10512288352928902,up,-0.9783027348877656
Gefitinib-dn,Gefitinib,3,0.9877142669451215,dn,-0.005368673060604085
Methylprednisolone-up,Methylprednisolone,9,0.24215815226470713,up,-0.6159009058287515
Methylprednisolone-dn,Methylprednisolone,2,0.9417189669842108,dn,-0.026078682448907212
Levetiracetam-up,Levetiracetam,4,0.349691118129745,up,-0.4563153982776213
Levetiracetam-dn,Levetiracetam,5,0.880123680950656,dn,-0.05545629355428025
Rosiglitazone-up,Rosiglitazone,10,0.27458128362064743,up,-0.5613290690559203
Alitretinoin-up,Alitretinoin,5,0.7427411292804589,up,-0.12916252636718328
Alitretinoin-dn,Alitretinoin,3,0.8833098154432126,dn,-0.05388694360459717
Pristane-up,Pristane,2,0.991261576045025,up,-0.003811727913309574
Pristane-dn,Pristane,5,0.49281981777287526,dn,-0.30731183620006497
Hypochlorous acid-up,Hypochlorous,6,0.4698652849712502,up,-0.3280266407450013
Hypochlorous acid-dn,Hypochlorous,1,0.9969429960776424,dn,-0.0013296733801049846
Methoxychlor-up,Methoxychlor,4,0.8465730909345928,up,-0.07233554007220191
Methoxychlor-dn,Methoxychlor,3,0.9008925981168016,dn,-0.04532698130228508
4-vinylcyclohexene diepoxide-up,4,2,0.9666174123035653,up,-0.014745385899760871
4-hydroxytamoxifen-up,4,33,1.6531058419841185e-12,up,-11.781699339339568
4-hydroxytamoxifen-dn,4,1,0.979368194686617,dn,-0.009054003948987028
Leptin-up,Leptin,2,0.9162308002198889,up,-0.0379951129739221
Leptin-dn,Leptin,5,0.8048252541766847,dn,-0.09429840458250438
Morphine-up,Morphine,1,0.9715904578034814,up,-0.012516759144432123
Morphine-dn,Morphine,2,0.9943616534289194,dn,-0.002455632179497834
Mycophenolic acid-up,Mycophenolic,3,0.9617342053304688,up,-0.01694493742993094
Mycophenolic acid-dn,Mycophenolic,2,0.9514127500896039,dn,-0.021631032802121558
Acetaminophen-up,Acetaminophen,4,0.727294143085252,up,-0.13828990979691164
Acetaminophen-dn,Acetaminophen,1,0.9978673527312294,dn,-0.0009271859727823243
Abiraterone-up,Abiraterone,2,0.9633997460589665,up,-0.016193472496573467
Abiraterone-dn,Abiraterone,5,0.6919977287758597,dn,-0.15989533095036645
Trichloroethylene-up,Trichloroethylene,2,0.8593702928410434,up,-0.0658196633100175
Trichloroethylene-dn,Trichloroethylene,2,0.9950058370946795,dn,-0.0021743715049540127
Cisplatin-up,Cisplatin,5,0.9738104307342142,up,-0.011525577925213517
Cisplatin-dn,Cisplatin,1,0.8609548421040707,dn,-0.06501962710538921
Metoprolol-dn,Metoprolol,4,0.8466254281649666,dn,-0.07230869174921996
Azacitidine-up,Azacitidine,15,0.0035315829484333676,up,-2.452030588754784
Azacitidine-dn,Azacitidine,1,0.9911828536993176,dn,-0.003846219352109274
Methotrexate-up,Methotrexate,2,0.9915920259768156,up,-0.0036669743287743696
Methotrexate-dn,Methotrexate,1,0.9910313353025518,dn,-0.003912613391780122
Decitabine-up,Decitabine,13,0.006921265293589002,up,-2.159814503839198
Decitabine-dn,Decitabine,4,0.778297222540721,dn,-0.1088545193872702
Imatinib-dn,Imatinib,3,0.9228318855316194,dn,-0.034877408222031864
Doxorubicin-up,Doxorubicin,20,7.668705609843875e-06,up,-5.1152779338269685
Doxorubicin-dn,Doxorubicin,1,0.9926904802714522,dn,-0.0031861429088408983
Apratoxin a-up,Apratoxin,4,0.49278962010020394,up,-0.30733844853169984
Estradiol-up,Estradiol,12,0.05263132641656025,up,-1.2787556847398216
Hydroxyzine-up,Hydroxyzine,6,0.3292780404375089,up,-0.4824372314345133
Ribavirin-up,Ribavirin,5,0.5107255257737267,up,-0.29181243580875876
Ribavirin-dn,Ribavirin,2,0.9873378323199711,dn,-0.005534221587187851
Cycloheximide-up,Cycloheximide,12,0.06295901021367918,up,-1.2009421081921352
Cycloheximide-dn,Cycloheximide,1,0.9855568335439211,dn,-0.006318326450167014
Bleomycin-up,Bleomycin,5,0.6614943765994683,up,-0.17947384342236247
Bleomycin-dn,Bleomycin,4,0.7612172383579081,dn,-0.11849138533647953
Diclofenac-up,Diclofenac,6,0.4810593982929224,up,-0.31780129627024983
Diclofenac-dn,Diclofenac,1,0.996726217157203,dn,-0.0014241182245012442
Etanercept-up,Etanercept,6,0.7320230999576723,up,-0.13547521398824994
Etanercept-dn,Etanercept,2,0.9292473475292137,dn,-0.03186866989332877
Chromium(iii) nicotinate-up,Chromium(iii),8,0.1816540535905761,up,-0.7407549064587022
Chromium(iii) nicotinate-dn,Chromium(iii),5,0.6597833638417512,dn,-0.18059863920415525
Lipopolysaccharide-up,Lipopolysaccharide,4,0.9589326069108629,up,-0.0182119136585222
Sorafenib-up,Sorafenib,13,0.006155692602820897,up,-2.2107230756878464
Coenzyme q10-up,Coenzyme,4,0.8096413239183733,up,-0.0917073336419821
Coenzyme q10-dn,Coenzyme,5,0.6494521264559425,dn,-0.1874528568808588
"2,3-dimethoxy-1,4-naphtoquinone (dmnq)-up","2,3",15,0.0026155121153872266,up,-2.5824432639242025
"2,3-dimethoxy-1,4-naphtoquinone (dmnq)-dn","2,3",3,0.8582904259193509,dn,-0.06636573192758084
Argyrin a-up,Argyrin,16,0.003756323091070804,up,-2.4252370600069573
Argyrin a-dn,Argyrin,2,0.9131242008390339,dn,-0.0394701468134551
Lapatinib-up,Lapatinib,13,0.012904272747160907,up,-1.8892664661913896
Lapatinib-dn,Lapatinib,2,0.9595617028226187,dn,-0.01792709353529353
Nicotinamide riboside-up,Nicotinamide,4,0.8119985018663354,up,-0.09044477202949452
Nicotinamide riboside-dn,Nicotinamide,5,0.6623356741269719,dn,-0.17892185274528144
Curcumin-up,Curcumin,5,0.0011994556579757653,up,-2.921015802596023
Curcumin-dn,Curcumin,1,0.9999307602106704,dn,-3.0071499518149192e-05
Progesterone-up,Progesterone,2,0.9298113232269942,up,-0.03160516928967351
Progesterone-dn,Progesterone,2,0.990596547060854,dn,-0.004103190178548639
Cetuximab-up,Cetuximab,19,2.548263252695417e-05,up,-4.593755708484538
Cetuximab-dn,Cetuximab,1,0.9934016563981084,dn,-0.002875120197491074
Genistein-up,Genistein,3,0.8686961894529914,up,-0.06113208352116606
Genistein-dn,Genistein,1,0.99793931721046,dn,-0.0008958665301658066
Bisphenol a-up,Bisphenol,3,0.7144832953038442,up,-0.14600792060592932
Lysophosphatidic acid-up,Lysophosphatidic,5,0.7638652652190611,up,-0.11698323793234773
Lysophosphatidic acid-dn,Lysophosphatidic,2,0.9617948539979692,dn,-0.01691755091189403
Adenosine triphosphate-up,Adenosine,5,0.5805689951451865,up,-0.2361461610584302
Adenosine triphosphate-dn,Adenosine,4,0.840372690255448,dn,-0.07552806938373731
Lmp-420-up,Lmp,16,0.007895841820414876,up,-2.1026015605928614
Harman-up,Harman,7,0.47981287659687805,up,-0.31892810117867054
Harman-dn,Harman,1,0.9920399421365989,dn,-0.0034708416559979982
Torcetrapib-up,Torcetrapib,19,0.0005818684667054234,up,-3.2351751779619504
Torcetrapib-dn,Torcetrapib,3,0.6804529946869343,dn,-0.16720187024487473
Nickel-up,Nickel,17,0.000587344465751334,up,-3.231107119028612
Nickel-dn,Nickel,2,0.9392353240879241,dn,-0.027225582229365313
Rituximab-up,Rituximab,3,0.7984371303440929,up,-0.09775927491633099
Paclitaxel-dn,Paclitaxel,1,0.9981088319802068,dn,-0.000822101446584055
Aminolevulinic acid-up,Aminolevulinic,3,0.9398814035770747,up,-0.026926943231654888
Aminolevulinic acid-dn,Aminolevulinic,4,0.7803633474477983,dn,-0.10770313699021289
Pimecrolimus-up,Pimecrolimus,13,0.02822186446839392,up,-1.549414298108696
Doxycycline-up,Doxycycline,21,0.0001533423141759707,up,-3.814337986845596
Doxycycline-dn,Doxycycline,1,0.9593774289038944,dn,-0.018010503316232867
Deferasirox-up,Deferasirox,6,0.46611952856805894,up,-0.3315027014620043
Deferasirox-dn,Deferasirox,3,0.9228318855316194,dn,-0.034877408222031864
Plx4032-up,Plx4032,2,0.9712086099372558,up,-0.012687476153841202
Plx4032-dn,Plx4032,6,0.48928903678902363,dn,-0.3104345151114535
Vanadium pentoxide-up,Vanadium,2,0.9963614812788532,up,-0.001583070368164593
Calcitriol-up,Calcitriol,11,0.14046378063355305,up,-0.852435646569072
Calcitriol-dn,Calcitriol,5,0.3730092450878945,dn,-0.428280404006595
Palmitic acid-up,Palmitic,7,0.43826125942282096,up,-0.35826691757897877
Palmitic acid-dn,Palmitic,1,0.9939413978552197,dn,-0.002639220570861903
Pd173074-up,Pd173074,4,0.8300111946709106,up,-0.0809160500925807
Pd173074-dn,Pd173074,3,0.8973377539257094,dn,-0.04704405967944673
Isotretinoin-up,Isotretinoin,3,0.6549882169716441,up,-0.1837665127566507
Isotretinoin-dn,Isotretinoin,2,0.9952283926826196,dn,-0.0020772425713683077
Captopril-up,Captopril,8,0.3650518069078408,up,-0.4376454975774944
Captopril-dn,Captopril,6,0.3018488634650949,dn,-0.5202104550325293
Methylphenidate-up,Methylphenidate,4,0.613314046521746,up,-0.21231708870069085
Methylphenidate-dn,Methylphenidate,1,0.9987481397913811,dn,-0.0005440165681556738
Caerulein-up,Caerulein,9,0.11829803693406503,up,-0.9270224620988391
Caerulein-dn,Caerulein,4,0.7982826256997755,dn,-0.09784332287078377
Sodium butyrate-up,Sodium,8,0.2762954274441255,up,-0.5586263023879284
Sodium butyrate-dn,Sodium,1,0.994531397635582,dn,-0.002381501524329477
Bexarotene-up,Bexarotene,16,0.0021107518416437826,up,-2.6755628231300075
Bexarotene-dn,Bexarotene,2,0.9375243731237685,dn,-0.028017432959639918
Alfacalcidol-up,Alfacalcidol,15,0.005684314893078726,up,-2.245321871536532
Plx4720-up,Plx4720,16,0.0004934156068748134,up,-3.3067871177720725
Plx4720-dn,Plx4720,2,0.9659127995806833,dn,-0.015062078936800841
"2,3,7,8-tetrachlorodibenzo-p-dioxin-up","2,3,7,8",7,0.25599657815553584,up,-0.5917658397588565
"2,3,7,8-tetrachlorodibenzo-p-dioxin-dn","2,3,7,8",3,0.9364760575017894,dn,-0.028503321575211106
Atorvastatin-up,Atorvastatin,5,0.7260149219065792,up,-0.1390544530807755
Atorvastatin-dn,Atorvastatin,1,0.9948045919342191,dn,-0.0022622187307204723
Soman-up,Soman,6,0.7371707259255296,up,-0.13243191954824152
Soman-dn,Soman,5,0.42541688781155457,dn,-0.3711852738649005
Phosgene-up,Phosgene,4,0.888321104937098,up,-0.051430019700291305
Phosgene-dn,Phosgene,1,0.9928140953129838,dn,-0.003132065641886258
Insulin-up,Insulin,1,0.9964708912915362,up,-0.001535383301781113
Insulin-dn,Insulin,3,0.9199941781749424,dn,-0.036214920909332815
Concanavalin a-dn,Concanavalin,4,0.8919029215835265,dn,-0.04968241346577335
Vemurafenib-up,Vemurafenib,28,2.092871030686971e-10,up,-9.679257533432324
Fenretinide-up,Fenretinide,7,0.08107934301074723,up,-1.091089779070829
Fenretinide-dn,Fenretinide,3,0.9716867052837562,dn,-0.012473739290745151
Sodium pyruvate-up,Sodium,15,0.04466290375422014,up,-1.350053044734373
N-nitrosodimethylamine-up,N,9,0.14094708323948713,up,-0.8509439069942418
N-nitrosodimethylamine-dn,N,7,0.2824760958060602,dn,-0.5490182979286813
1-naphthyl isothiocyanate-up,1,4,0.8524250430134604,up,-0.06934379982738825
