ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_DOWNSTREAM_TCR_SIGNALING,REACTOME_DOWNSTREAM_TCR_SIGNALING,71,-0.537578155534719,-1.774846342508776,2.7158743437518496e-4,0.003371705287831332,0.002459946505499041,1396,"tags=30%, list=9%, signal=27%",CDC34/PSMD6/HLA-DQA1/HLA-DQB1/PSMA6/PSMB5/PSMA3/SKP1/PSMA1/PSMA5/PSMB1/PSMA2/PSMB4/PSMD14/ADRM1/PSMD13/PSMB6/PSMA7/PSMB3/NFKB1/BCL10
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,84,-0.5170962358038929,-1.741906358806109,2.6810554419088776e-4,0.003371705287831332,0.002459946505499041,2399,"tags=40%, list=16%, signal=34%",DBF4/ANAPC10/CDK2/MCM7/MCM3/MCM2/UBE2E1/CDT1/PRIM1/ANAPC16/PSMD6/GMNN/PSMA6/PSMB5/POLE4/PSMA3/CDC45/ORC4/PSMA1/PSMA5/PRIM2/CDC26/PSMB1/PSMA2/POLA1/PSMB4/PSMD14/ANAPC11/ADRM1/RPA3/PSMD13/PSMB6/PSMA7/PSMB3
REACTOME_PCP_CE_PATHWAY,REACTOME_PCP_CE_PATHWAY,74,-0.5278775018530807,-1.7356838143604645,2.777715884786047e-4,0.0034064897532512526,0.0024853247390190947,1330,"tags=28%, list=9%, signal=26%",WNT5B/PSMD6/AP2S1/ROR1/PSMA6/PSMB5/PSMA3/PSMA1/PSMA5/PSMB1/PSMA2/CLTA/PSMB4/PSMD14/ADRM1/PSMD13/PARD6A/DVL2/PSMB6/PSMA7/PSMB3
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,34,-0.6540574371526634,-1.864121672172858,2.933579701968431e-4,0.0035652243405003728,0.0026011351553726727,1874,"tags=44%, list=12%, signal=39%",TXN/GPX1/NCF2/GSTP1/P4HB/PRDX6/ATOX1/PRDX1/PRDX2/NUDT2/SOD1/PRDX5/CYCS/CCS/CYBA
REACTOME_REGULATION_OF_RAS_BY_GAPS,REACTOME_REGULATION_OF_RAS_BY_GAPS,50,-0.5852660525406342,-1.8319436853170599,3.0012283597409935e-4,0.003614872372580893,0.002637357628155854,1420,"tags=32%, list=9%, signal=29%",SPRED2/PSMD6/PSMA6/PSMB5/PSMA3/PSMA1/PSMA5/PSMB1/PSMA2/PSMB4/PSMD14/ADRM1/PSMD13/PSMB6/PSMA7/PSMB3
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,56,-0.5665159197497345,-1.7937642860257803,3.041875164069911e-4,0.0036314067224162035,0.0026494208462090048,1513,"tags=39%, list=10%, signal=36%",ZC3H11A/CPSF4/U2AF2/PABPN1/CPSF6/SRSF1/CSTF3/PAPOLA/MAGOHB/THOC1/NCBP2/SARNP/THOC6/CLP1/DDX39A/SNRPB/SNRPF/SRSF9/THOC7/SRSF3/SRSF7/MAGOH
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,29,-0.6773582618872771,-1.8970064755286808,3.094828503483119e-4,0.003662213729121691,0.0026718971844475687,1482,"tags=41%, list=10%, signal=37%",TCEA1/POLR2G/POLR2H/POLR2C/POLR2E/POLR2F/POLR2D/POLR2L/POLR2K/SUPT4H1/POLR2J/POLR2I
REACTOME_HIV_LIFE_CYCLE,REACTOME_HIV_LIFE_CYCLE,137,-0.4402893534763598,-1.598122315665043,3.198539891634955e-4,0.0037520263598396124,0.0027374231566852938,1511,"tags=26%, list=10%, signal=24%",RANBP1/MNAT1/TCEA1/RCC1/CHMP5/RNGTT/TAF7/POLR2G/NCBP2/GTF2H4/TAF8/GTF2A2/POLR2H/POLR2C/TAF5/POLR2E/GTF2E2/CHMP2A/POLR2F/NUP85/TAF15/TAF9/RAN/CCNH/POLR2D/NUP35/BANF1/MVB12A/POLR2L/TAF13/SEC13/POLR2K/SUPT4H1/POLR2J/POLR2I/TAF4
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,79,-0.5164260956855383,-1.7238633120343105,3.370806010924212e-4,0.0039200149213247945,0.00285998513631047,1225,"tags=39%, list=8%, signal=36%",PSMC3/TNFRSF4/PSMB2/UBA3/PSMC4/PSMD7/BIRC2/TNFRSF17/EDA2R/UBC/PSMC6/MAP3K14/TNFRSF9/TRAF2/PSMD6/PSMA6/PSMB5/PSMA3/SKP1/PSMA1/PSMA5/PSMB1/PSMA2/PSMB4/PSMD14/ADRM1/TNFRSF11B/PSMD13/PSMB6/PSMA7/PSMB3
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING,28,0.6676158611241632,1.8904681497925244,3.5416378878722093e-4,0.004083478214307359,0.0029792455467031183,2912,"tags=46%, list=19%, signal=38%",BRAF/CBL/MAPK1/MAPK3/FGF1/MKNK1/SRC/FGF5/PPP2R1A/PPP2CB/FGF18/PTPN11/FGF2
