rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method
165,Y15,2,-0.13442564455917616,-0.22687370091837325,0.5930977808673719,local_gmt_fallback
166,Deltamethrin,2,-0.1761676789913535,-0.22441672446776537,0.5964626799914625,local_gmt_fallback
167,L,2,-0.12017326680124685,-0.2207940435002867,0.6014589011387821,local_gmt_fallback
168,Methylphenidate,2,-0.10643055263442326,-0.21231708870069085,0.613314046521746,local_gmt_fallback
169,Isoflurane,2,-0.11415103181024497,-0.2113845127085959,0.6146324526175662,local_gmt_fallback
170,Clinafloxacin,2,-0.11276590312533763,-0.2106324636787922,0.6156977071975466,local_gmt_fallback
171,D,2,-0.15337448872827006,-0.20675056380434828,0.6212257315833764,local_gmt_fallback
172,Coenzyme,2,-0.13958009526142046,-0.1874528568808588,0.6494521264559425,local_gmt_fallback
173,Irinotecan,2,-0.09677907776098837,-0.18384459101539052,0.6548704725727846,local_gmt_fallback
174,Isotretinoin,2,-0.09292187766400951,-0.1837665127566507,0.6549882169716441,local_gmt_fallback
175,Bleomycin,2,-0.148982614379421,-0.17947384342236247,0.6614943765994683,local_gmt_fallback
176,3h,2,-0.13865858314657312,-0.17947384342236247,0.6614943765994683,local_gmt_fallback
177,Nicotinamide,2,-0.13468331238738798,-0.17892185274528144,0.6623356741269719,local_gmt_fallback
178,Mehp,2,-0.10511616763200574,-0.17309871249468398,0.671276258573349,local_gmt_fallback
179,Ubiquinol,2,-0.08435718855041426,-0.1669346525919087,0.6808718003825447,local_gmt_fallback
180,Levofloxacin,2,-0.08808734175159376,-0.1649257110589686,0.6840286448944393,local_gmt_fallback
181,Formaldehyde,1,-0.16097499208655294,-0.16097499208655294,0.6902795509588053,local_gmt_fallback
182,Abiraterone,2,-0.08804440172346996,-0.15989533095036645,0.6919977287758597,local_gmt_fallback
183,Imiquimod,2,-0.09235014844836388,-0.15862161444782055,0.6940302268713057,local_gmt_fallback
184,Triiodothyronine,2,-0.15580160985400412,-0.15589171516381373,0.6984065195939226,local_gmt_fallback
185,Thapsigargin,2,-0.08280841706871629,-0.15333561380815527,0.7025292099913861,local_gmt_fallback
186,Bisphenol,1,-0.14600792060592932,-0.14600792060592932,0.7144832953038442,local_gmt_fallback
187,Calcitonin,1,-0.14484839925842571,-0.14484839925842571,0.7163934406136577,local_gmt_fallback
188,Phenobarbital,2,-0.13336396846764725,-0.144149501644184,0.7175472401047813,local_gmt_fallback
189,Vancomycin,1,-0.1407696563761274,-0.1407696563761274,0.7231532521175971,local_gmt_fallback
190,Atorvastatin,2,-0.07065833590574798,-0.1390544530807755,0.7260149219065792,local_gmt_fallback
191,Acetaminophen,2,-0.06960854788484698,-0.13828990979691164,0.727294143085252,local_gmt_fallback
192,Epz004777,2,-0.07162245358035689,-0.13642996804781443,0.730415586198795,local_gmt_fallback
193,Etanercept,2,-0.08367194194078935,-0.13547521398824994,0.7320230999576723,local_gmt_fallback
194,Alitretinoin,2,-0.09152473498589023,-0.12916252636718328,0.7427411292804589,local_gmt_fallback
195,Zinc,2,-0.0666044050140393,-0.11953466405828075,0.7593908079953731,local_gmt_fallback
196,Lysophosphatidic,2,-0.06695039442212088,-0.11698323793234773,0.7638652652190611,local_gmt_fallback
197,Pioglitazone,2,-0.09171189016464763,-0.11600960353980991,0.7655796774854688,local_gmt_fallback
198,Quercetin,2,-0.059388160664635516,-0.1118326104872223,0.7729784556896605,local_gmt_fallback
199,Ethinyl,2,-0.0702261042086626,-0.11121765478613066,0.7740737590610257,local_gmt_fallback
200,Aminolevulinic,2,-0.0673150401109339,-0.10770313699021289,0.7803633474477983,local_gmt_fallback
201,Rituximab,1,-0.09775927491633099,-0.09775927491633099,0.7984371303440929,local_gmt_fallback
202,Leptin,2,-0.06614675877821324,-0.09429840458250438,0.8048252541766847,local_gmt_fallback
203,Pyrazinamide,1,-0.0870664017392173,-0.0870664017392173,0.8183396579911908,local_gmt_fallback
204,Tibolone,1,-0.08205335665949012,-0.08205335665949012,0.8278404504363164,local_gmt_fallback
205,Pd173074,2,-0.06398005488601372,-0.0809160500925807,0.8300111946709106,local_gmt_fallback
206,Heregulin,2,-0.04727384003355324,-0.08060960232196862,0.8305970755678191,local_gmt_fallback
207,Methoxychlor,2,-0.058831260687243495,-0.07233554007220191,0.8465730909345928,local_gmt_fallback
208,Metoprolol,1,-0.07230869174921996,-0.07230869174921996,0.8466254281649666,local_gmt_fallback
209,Trichloroethylene,2,-0.03399701740748576,-0.0658196633100175,0.8593702928410434,local_gmt_fallback
210,Cisplatin,2,-0.03827260251530136,-0.06501962710538921,0.8609548421040707,local_gmt_fallback
211,Propofol,2,-0.06261849304631756,-0.06410490257146904,0.862770122976956,local_gmt_fallback
212,Genistein,2,-0.031013975025665934,-0.06113208352116606,0.8686961894529914,local_gmt_fallback
213,Creatine,1,-0.05849799439380823,-0.05849799439380823,0.8739810286946343,local_gmt_fallback
214,Streptozocin,2,-0.042525592015550555,-0.05830040215270973,0.8743787568914183,local_gmt_fallback
215,Phosgene,2,-0.02728104267108878,-0.051430019700291305,0.888321104937098,local_gmt_fallback
216,Concanavalin,1,-0.04968241346577335,-0.04968241346577335,0.8919029215835265,local_gmt_fallback
217,Mepenzolate,4,-0.022390994016437973,-0.0464649158628424,0.8985351770943393,local_gmt_fallback
218,Troglitazone,2,-0.036295334016208936,-0.044768037851462265,0.902052806718468,local_gmt_fallback
219,Sevoflurane,2,-0.020407668288896067,-0.039528638257709296,0.9130012281580298,local_gmt_fallback
