rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
3,Vemurafenib,1,-9.679257533432324,-9.679257533432324,2.092871030686971e-10,local_gmt_fallback,vemurafenib,Launched,RAF inhibitor,BRAF|RAF1,oncology,melanoma
5,Chlorambucil,2,-3.6680972126483713,-7.2407576354731775,5.74436945897152e-08,local_gmt_fallback,chlorambucil,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|Hodgkin's lymphoma
6,Formoterol,2,-3.475751762346362,-6.936082062002631,1.1585584203616169e-07,local_gmt_fallback,formoterol,Launched,adrenergic receptor agonist,ADRB2,pulmonary,asthma|chronic obstructive pulmonary disease (COPD)|bronchospasm
7,Casiigly,1,-6.92327778723654,-6.92327778723654,1.1932246395387305e-07,local_gmt_fallback,,,,,,
8,Bicalutamide,1,-6.515716548110959,-6.515716548110959,3.049884914947753e-07,local_gmt_fallback,bicalutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
9,Sangivamycin,1,-5.997730983814457,-5.997730983814457,1.0052382748819865e-06,local_gmt_fallback,sangivamycin,Phase 1,DNA inhibitor,,,
10,Sulforaphane,2,-2.9476159591807494,-5.89138569900939,1.2841456974272953e-06,local_gmt_fallback,sulforaphane,Phase 2,anticancer agent|aryl hydrocarbon receptor antagonist,NFE2L2,,
11,Sapphyrin,4,-1.667946424894694,-5.673525125447933,2.1206787008942784e-06,local_gmt_fallback,,,,,,
12,Arachidonic,1,-5.402471681858998,-5.402471681858998,3.958478752269614e-06,local_gmt_fallback,,,,,,
13,Ascorbic,2,-2.8458064515031696,-5.297254789546903,5.043653124242841e-06,local_gmt_fallback,,,,,,
14,Doxorubicin,2,-2.5592320383679046,-5.1152779338269685,7.668705609843875e-06,local_gmt_fallback,doxorubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma
15,Actinomycin,2,-2.532058530231032,-5.059229498052583,8.725101783164464e-06,local_gmt_fallback,,,,,,
16,Telapristone,1,-4.989098848484495,-4.989098848484495,1.0254185072102815e-05,local_gmt_fallback,,,,,,
18,Cetuximab,2,-2.298315414341015,-4.593755708484538,2.548263252695417e-05,local_gmt_fallback,,,,,,
19,Motexafin,4,-0.2135207289231572,-4.523424845374824,2.9962300449359997e-05,local_gmt_fallback,,,,,,
21,Bpde,2,-2.260451459180844,-4.477301482434627,3.331950321488243e-05,local_gmt_fallback,,,,,,
22,Chlorpyrifos,2,-2.26199662171334,-4.414568404930535,3.849741733241637e-05,local_gmt_fallback,chlorpyrifos,Launched,acetylcholinesterase inhibitor,ACHE,,
23,Anastrozole,2,-2.208166065242009,-4.402295201479817,3.9600876508861016e-05,local_gmt_fallback,anastrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
24,Luteolin,2,-2.181081722516041,-4.310213539187698,4.8953805816259663e-05,local_gmt_fallback,luteolin,Phase 2,glucosidase inhibitor,TOP1,,
26,Cyfluthrin,2,-2.0406955314065587,-4.012779185481146,9.710035428954436e-05,local_gmt_fallback,,,,,,
27,Grepafloxacin,2,-1.961171358907247,-3.8777074149360375,0.0001325234047354,local_gmt_fallback,,,,,,
